,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Palmetto Place,0106,1x1,700,1715,07/14/2023,False
1,Palmetto Place,0106,1x1,700,1715,07/15/2023,False
2,Palmetto Place,0106,1x1,700,1715,07/16/2023,False
3,Palmetto Place,0106,1x1,700,1715,07/17/2023,False
4,Palmetto Place,0106,1x1,700,1715,07/18/2023,False
5,Palmetto Place,0106,1x1,700,1715,07/19/2023,True
6,Palmetto Place,0110,1x1,700,1715,10/12/2023,False
7,Palmetto Place,0110,1x1,700,1715,10/13/2023,False
8,Palmetto Place,0110,1x1,700,1715,10/14/2023,False
9,Palmetto Place,0110,1x1,700,1715,10/15/2023,False
10,Palmetto Place,0110,1x1,700,1715,10/16/2023,False
11,Palmetto Place,0110,1x1,700,1715,10/17/2023,False
12,Palmetto Place,0110,1x1,700,1715,10/18/2023,False
13,Palmetto Place,0110,1x1,700,1715,10/19/2023,False
14,Palmetto Place,0110,1x1,700,1715,10/20/2023,False
15,Palmetto Place,0110,1x1,700,1715,10/21/2023,False
16,Palmetto Place,0110,1x1,700,1715,10/22/2023,False
17,Palmetto Place,0110,1x1,700,1715,10/23/2023,False
18,Palmetto Place,0110,1x1,700,1715,10/24/2023,False
19,Palmetto Place,0110,1x1,700,1715,10/25/2023,False
20,Palmetto Place,0110,1x1,700,1715,10/26/2023,False
21,Palmetto Place,0110,1x1,700,1715,10/27/2023,False
22,Palmetto Place,0110,1x1,700,1715,10/28/2023,False
23,Palmetto Place,0110,1x1,700,1715,10/29/2023,True
24,Palmetto Place,0117,1x1,700,1705,09/21/2023,False
25,Palmetto Place,0117,1x1,700,1705,09/22/2023,False
26,Palmetto Place,0117,1x1,700,1705,09/23/2023,False
27,Palmetto Place,0117,1x1,700,1705,09/24/2023,False
28,Palmetto Place,0117,1x1,700,1705,09/25/2023,True
29,Palmetto Place,0128,1x1,700,1695,09/12/2023,False
30,Palmetto Place,0128,1x1,700,1695,09/13/2023,False
31,Palmetto Place,0128,1x1,700,1695,09/14/2023,False
32,Palmetto Place,0128,1x1,700,1695,09/15/2023,False
33,Palmetto Place,0128,1x1,700,1695,09/16/2023,False
34,Palmetto Place,0128,1x1,700,1695,09/17/2023,False
35,Palmetto Place,0128,1x1,700,1695,09/18/2023,False
36,Palmetto Place,0128,1x1,700,1695,09/19/2023,False
37,Palmetto Place,0128,1x1,700,1695,09/20/2023,False
38,Palmetto Place,0128,1x1,700,1695,09/21/2023,False
39,Palmetto Place,0128,1x1,700,1695,09/22/2023,False
40,Palmetto Place,0128,1x1,700,1695,09/23/2023,False
41,Palmetto Place,0128,1x1,700,1695,09/24/2023,False
42,Palmetto Place,0128,1x1,700,1695,09/25/2023,False
43,Palmetto Place,0128,1x1,700,1695,09/26/2023,False
