,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Park 17,200,1x1,793,2061,03/21/2025,False
1,Park 17,200,1x1,793,2014,03/22/2025,False
2,Park 17,200,1x1,793,2014,03/23/2025,False
3,Park 17,200,1x1,793,2014,03/24/2025,False
4,Park 17,200,1x1,793,2014,03/25/2025,True
5,Park 17,202,0x1,666,1576,10/25/2024,False
6,Park 17,202,0x1,666,1576,10/26/2024,False
7,Park 17,202,0x1,666,1576,10/27/2024,False
8,Park 17,202,0x1,666,1576,10/28/2024,False
9,Park 17,202,0x1,666,1582,10/29/2024,False
10,Park 17,202,0x1,666,1582,10/30/2024,False
11,Park 17,202,0x1,666,1532,10/31/2024,False
12,Park 17,202,0x1,666,1532,11/01/2024,False
13,Park 17,202,0x1,666,1532,11/02/2024,False
14,Park 17,202,0x1,666,1532,11/03/2024,False
15,Park 17,202,0x1,666,1527,11/04/2024,False
16,Park 17,202,0x1,666,1527,11/05/2024,False
17,Park 17,202,0x1,666,1527,11/06/2024,False
18,Park 17,202,0x1,666,1527,11/07/2024,False
19,Park 17,202,0x1,666,1527,11/08/2024,False
20,Park 17,202,0x1,666,1527,11/09/2024,False
21,Park 17,202,0x1,666,1527,11/10/2024,False
22,Park 17,202,0x1,666,1526,11/11/2024,False
23,Park 17,202,0x1,666,1519,11/12/2024,False
24,Park 17,202,0x1,666,1519,11/13/2024,False
25,Park 17,202,0x1,666,1519,11/14/2024,False
26,Park 17,202,0x1,666,1519,11/15/2024,False
27,Park 17,202,0x1,666,1519,11/16/2024,False
28,Park 17,202,0x1,666,1519,11/17/2024,False
29,Park 17,202,0x1,666,1519,11/18/2024,False
30,Park 17,202,0x1,666,1519,11/19/2024,False
31,Park 17,202,0x1,666,1519,11/20/2024,False
32,Park 17,202,0x1,666,1519,11/21/2024,False
33,Park 17,202,0x1,666,1562,11/22/2024,False
34,Park 17,202,0x1,666,1562,11/23/2024,False
35,Park 17,202,0x1,666,1562,11/24/2024,False
36,Park 17,202,0x1,666,1562,11/25/2024,False
37,Park 17,202,0x1,666,1590,11/26/2024,False
38,Park 17,202,0x1,666,1590,11/27/2024,False
39,Park 17,202,0x1,666,1496,11/28/2024,False
40,Park 17,202,0x1,666,1496,11/29/2024,False
41,Park 17,202,0x1,666,1496,11/30/2024,False
42,Park 17,202,0x1,666,1496,12/01/2024,False
43,Park 17,202,0x1,666,1496,12/02/2024,False
44,Park 17,202,0x1,666,1495,12/03/2024,False
45,Park 17,202,0x1,666,1495,12/04/2024,False
46,Park 17,202,0x1,666,1495,12/05/2024,False
47,Park 17,202,0x1,666,1495,12/06/2024,False
48,Park 17,202,0x1,666,1495,12/07/2024,False
49,Park 17,202,0x1,666,1495,12/08/2024,True
50,Park 17,204,0x1,664,1566,01/11/2024,False
51,Park 17,204,0x1,664,1544,01/12/2024,False
52,Park 17,204,0x1,664,1544,01/13/2024,False
53,Park 17,204,0x1,664,1544,01/14/2024,False
54,Park 17,204,0x1,664,1544,01/15/2024,True
55,Park 17,205,0x1,569,1700,08/06/2023,False
56,Park 17,205,0x1,569,1700,08/07/2023,False
57,Park 17,205,0x1,569,1690,08/08/2023,False
58,Park 17,205,0x1,569,1690,08/09/2023,False
59,Park 17,205,0x1,569,1690,08/10/2023,False
60,Park 17,205,0x1,569,1690,08/11/2023,False
61,Park 17,205,0x1,569,1690,08/12/2023,False
62,Park 17,205,0x1,569,1690,08/13/2023,False
63,Park 17,205,0x1,569,1690,08/14/2023,False
64,Park 17,205,0x1,569,1712,08/15/2023,False
65,Park 17,205,0x1,569,1708,08/16/2023,False
66,Park 17,205,0x1,569,1719,08/17/2023,False
67,Park 17,205,0x1,569,1724,08/18/2023,False
68,Park 17,205,0x1,569,1724,08/19/2023,False
69,Park 17,205,0x1,569,1724,08/20/2023,False
70,Park 17,205,0x1,569,1724,08/21/2023,False
71,Park 17,205,0x1,569,1724,08/22/2023,False
72,Park 17,205,0x1,569,1718,08/23/2023,False
73,Park 17,205,0x1,569,1718,08/24/2023,False
74,Park 17,205,0x1,569,1729,08/25/2023,False
75,Park 17,205,0x1,569,1731,08/26/2023,False
76,Park 17,205,0x1,569,1731,08/27/2023,False
77,Park 17,205,0x1,569,1731,08/28/2023,False
78,Park 17,205,0x1,569,1731,08/29/2023,False
79,Park 17,205,0x1,569,1731,08/30/2023,False
80,Park 17,205,0x1,569,1677,08/31/2023,False
81,Park 17,205,0x1,569,1682,09/01/2023,False
82,Park 17,205,0x1,569,1666,09/02/2023,False
83,Park 17,205,0x1,569,1666,09/03/2023,False
84,Park 17,205,0x1,569,1666,09/04/2023,False
85,Park 17,205,0x1,569,1666,09/05/2023,False
86,Park 17,205,0x1,569,1669,09/06/2023,False
87,Park 17,205,0x1,569,1648,09/07/2023,False
88,Park 17,205,0x1,569,1648,09/08/2023,False
89,Park 17,205,0x1,569,1648,09/09/2023,False
90,Park 17,205,0x1,569,1648,09/10/2023,False
91,Park 17,205,0x1,569,1648,09/11/2023,False
92,Park 17,205,0x1,569,1595,09/12/2023,False
93,Park 17,205,0x1,569,1696,09/13/2023,False
94,Park 17,205,0x1,569,1740,09/14/2023,False
95,Park 17,205,0x1,569,1730,09/15/2023,False
96,Park 17,205,0x1,569,1734,09/16/2023,False
97,Park 17,205,0x1,569,1734,09/17/2023,False
98,Park 17,205,0x1,569,1734,09/18/2023,False
99,Park 17,205,0x1,569,1734,09/19/2023,False
100,Park 17,205,0x1,569,1734,09/20/2023,False
101,Park 17,205,0x1,569,1644,09/21/2023,False
102,Park 17,205,0x1,569,1625,09/22/2023,False
103,Park 17,205,0x1,569,1625,09/23/2023,False
104,Park 17,205,0x1,569,1625,09/24/2023,False
105,Park 17,205,0x1,569,1625,09/25/2023,False
106,Park 17,205,0x1,569,1625,09/26/2023,False
107,Park 17,205,0x1,569,1646,09/27/2023,False
108,Park 17,205,0x1,569,1646,09/28/2023,False
109,Park 17,205,0x1,569,1596,09/29/2023,False
110,Park 17,205,0x1,569,1672,09/30/2023,False
111,Park 17,205,0x1,569,1672,10/01/2023,False
112,Park 17,205,0x1,569,1672,10/02/2023,False
113,Park 17,205,0x1,569,1619,10/03/2023,False
114,Park 17,205,0x1,569,1619,10/04/2023,False
115,Park 17,205,0x1,569,1675,10/05/2023,False
116,Park 17,205,0x1,569,1646,10/06/2023,False
117,Park 17,205,0x1,569,1646,10/07/2023,False
118,Park 17,205,0x1,569,1646,10/08/2023,False
119,Park 17,205,0x1,569,1646,10/09/2023,False
120,Park 17,205,0x1,569,1674,10/10/2023,False
121,Park 17,205,0x1,569,1674,10/11/2023,False
122,Park 17,205,0x1,569,1674,10/12/2023,False
123,Park 17,205,0x1,569,1676,10/13/2023,False
124,Park 17,205,0x1,569,1680,10/14/2023,False
125,Park 17,205,0x1,569,1673,10/15/2023,False
126,Park 17,205,0x1,569,1666,10/16/2023,False
127,Park 17,205,0x1,569,1638,10/17/2023,False
128,Park 17,205,0x1,569,1647,10/18/2023,False
129,Park 17,205,0x1,569,1640,10/19/2023,False
130,Park 17,205,0x1,569,1626,10/20/2023,False
131,Park 17,205,0x1,569,1619,10/21/2023,False
132,Park 17,205,0x1,569,1612,10/22/2023,False
133,Park 17,205,0x1,569,1612,10/23/2023,False
134,Park 17,205,0x1,569,1605,10/24/2023,False
135,Park 17,205,0x1,569,1574,10/25/2023,False
136,Park 17,205,0x1,569,1574,10/26/2023,False
137,Park 17,205,0x1,569,1574,10/27/2023,False
