,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Park 35 on Clairmont,101,1x1,838,1609,07/21/2024,False
1,Park 35 on Clairmont,101,1x1,838,1609,07/22/2024,False
2,Park 35 on Clairmont,101,1x1,838,1609,07/23/2024,False
3,Park 35 on Clairmont,101,1x1,838,1609,07/24/2024,False
4,Park 35 on Clairmont,101,1x1,838,1609,07/25/2024,False
5,Park 35 on Clairmont,101,1x1,838,1609,07/26/2024,False
6,Park 35 on Clairmont,101,1x1,838,1609,07/27/2024,False
7,Park 35 on Clairmont,101,1x1,838,1609,07/28/2024,False
8,Park 35 on Clairmont,101,1x1,838,1681,07/29/2024,False
9,Park 35 on Clairmont,101,1x1,838,1707,07/30/2024,False
10,Park 35 on Clairmont,101,1x1,838,1707,07/31/2024,False
11,Park 35 on Clairmont,101,1x1,838,1707,08/01/2024,False
12,Park 35 on Clairmont,101,1x1,838,1707,08/02/2024,False
13,Park 35 on Clairmont,101,1x1,838,1671,08/03/2024,False
14,Park 35 on Clairmont,101,1x1,838,1671,08/04/2024,False
15,Park 35 on Clairmont,101,1x1,838,1746,08/05/2024,False
16,Park 35 on Clairmont,101,1x1,838,1746,08/06/2024,False
17,Park 35 on Clairmont,101,1x1,838,1642,08/07/2024,False
18,Park 35 on Clairmont,101,1x1,838,1584,08/08/2024,False
19,Park 35 on Clairmont,101,1x1,838,1559,08/09/2024,False
20,Park 35 on Clairmont,101,1x1,838,1573,08/10/2024,False
21,Park 35 on Clairmont,101,1x1,838,1573,08/11/2024,False
22,Park 35 on Clairmont,101,1x1,838,1541,08/12/2024,False
23,Park 35 on Clairmont,101,1x1,838,1614,08/13/2024,False
24,Park 35 on Clairmont,101,1x1,838,1614,08/14/2024,False
25,Park 35 on Clairmont,101,1x1,838,1649,08/15/2024,False
26,Park 35 on Clairmont,101,1x1,838,1654,08/16/2024,False
27,Park 35 on Clairmont,101,1x1,838,1654,08/17/2024,False
28,Park 35 on Clairmont,101,1x1,838,1654,08/18/2024,False
29,Park 35 on Clairmont,101,1x1,838,1672,08/19/2024,False
30,Park 35 on Clairmont,101,1x1,838,1672,08/20/2024,False
31,Park 35 on Clairmont,101,1x1,838,1672,08/21/2024,False
32,Park 35 on Clairmont,101,1x1,838,1672,08/22/2024,False
33,Park 35 on Clairmont,101,1x1,838,1608,08/23/2024,False
34,Park 35 on Clairmont,101,1x1,838,1684,08/24/2024,False
35,Park 35 on Clairmont,101,1x1,838,1684,08/25/2024,False
36,Park 35 on Clairmont,101,1x1,838,1631,08/26/2024,False
37,Park 35 on Clairmont,101,1x1,838,1708,08/27/2024,False
38,Park 35 on Clairmont,101,1x1,838,1728,08/28/2024,False
39,Park 35 on Clairmont,101,1x1,838,1699,08/29/2024,False
40,Park 35 on Clairmont,101,1x1,838,1699,08/30/2024,False
41,Park 35 on Clairmont,101,1x1,838,1699,08/31/2024,False
42,Park 35 on Clairmont,101,1x1,838,1782,09/01/2024,False
43,Park 35 on Clairmont,101,1x1,838,1782,09/02/2024,False
44,Park 35 on Clairmont,101,1x1,838,1782,09/03/2024,False
45,Park 35 on Clairmont,101,1x1,838,1701,09/04/2024,False
46,Park 35 on Clairmont,101,1x1,838,1618,09/05/2024,False
47,Park 35 on Clairmont,101,1x1,838,1566,09/06/2024,False
48,Park 35 on Clairmont,101,1x1,838,1566,09/07/2024,False
49,Park 35 on Clairmont,101,1x1,838,1566,09/08/2024,False
50,Park 35 on Clairmont,101,1x1,838,1496,09/09/2024,False
51,Park 35 on Clairmont,101,1x1,838,1496,09/10/2024,False
52,Park 35 on Clairmont,101,1x1,838,1562,09/11/2024,False
53,Park 35 on Clairmont,101,1x1,838,1562,09/12/2024,False
54,Park 35 on Clairmont,101,1x1,838,1565,09/13/2024,False
55,Park 35 on Clairmont,101,1x1,838,1565,09/14/2024,False
56,Park 35 on Clairmont,101,1x1,838,1565,09/15/2024,False
57,Park 35 on Clairmont,101,1x1,838,1574,09/16/2024,False
58,Park 35 on Clairmont,101,1x1,838,1574,09/17/2024,False
