,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Park on Windy Hill,0101,1x1,750,1190,03/24/2024,False
1,Park on Windy Hill,0101,1x1,750,1190,03/25/2024,False
2,Park on Windy Hill,0101,1x1,750,1190,03/26/2024,False
3,Park on Windy Hill,0101,1x1,750,1188,03/27/2024,False
4,Park on Windy Hill,0101,1x1,750,1188,03/28/2024,False
5,Park on Windy Hill,0101,1x1,750,1186,03/29/2024,False
6,Park on Windy Hill,0101,1x1,750,1186,03/30/2024,False
7,Park on Windy Hill,0101,1x1,750,1184,03/31/2024,False
8,Park on Windy Hill,0101,1x1,750,1182,04/01/2024,False
9,Park on Windy Hill,0101,1x1,750,1180,04/02/2024,False
10,Park on Windy Hill,0101,1x1,750,1178,04/03/2024,False
11,Park on Windy Hill,0101,1x1,750,1178,04/04/2024,False
12,Park on Windy Hill,0101,1x1,750,1176,04/05/2024,False
13,Park on Windy Hill,0101,1x1,750,1174,04/06/2024,False
14,Park on Windy Hill,0101,1x1,750,1174,04/07/2024,False
15,Park on Windy Hill,0101,1x1,750,1174,04/08/2024,False
16,Park on Windy Hill,0101,1x1,750,1172,04/09/2024,False
17,Park on Windy Hill,0101,1x1,750,1168,04/10/2024,False
18,Park on Windy Hill,0101,1x1,750,1168,04/11/2024,True
19,Park on Windy Hill,0103,2x1,1100,1465,09/17/2024,False
20,Park on Windy Hill,0103,2x1,1100,1463,09/18/2024,False
21,Park on Windy Hill,0103,2x1,1100,1461,09/19/2024,False
22,Park on Windy Hill,0103,2x1,1100,1459,09/20/2024,False
23,Park on Windy Hill,0103,2x1,1100,1458,09/21/2024,False
24,Park on Windy Hill,0103,2x1,1100,1457,09/22/2024,False
25,Park on Windy Hill,0103,2x1,1100,1456,09/23/2024,False
26,Park on Windy Hill,0103,2x1,1100,1435,09/24/2024,False
27,Park on Windy Hill,0103,2x1,1100,1433,09/25/2024,False
28,Park on Windy Hill,0103,2x1,1100,1432,09/26/2024,False
29,Park on Windy Hill,0103,2x1,1100,1432,09/27/2024,False
30,Park on Windy Hill,0103,2x1,1100,1432,09/28/2024,False
31,Park on Windy Hill,0103,2x1,1100,1432,09/29/2024,False
32,Park on Windy Hill,0103,2x1,1100,1432,09/30/2024,False
