,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Platinum Castle Hills,10101,1x1,845,1592,01/28/2024,False
1,Platinum Castle Hills,10101,1x1,845,1592,01/29/2024,False
2,Platinum Castle Hills,10101,1x1,845,1563,01/30/2024,False
3,Platinum Castle Hills,10101,1x1,845,1563,01/31/2024,False
4,Platinum Castle Hills,10101,1x1,845,1563,02/01/2024,False
5,Platinum Castle Hills,10101,1x1,845,1563,02/02/2024,False
6,Platinum Castle Hills,10101,1x1,845,1496,02/03/2024,False
7,Platinum Castle Hills,10101,1x1,845,1496,02/04/2024,False
8,Platinum Castle Hills,10101,1x1,845,1496,02/05/2024,False
9,Platinum Castle Hills,10101,1x1,845,1496,02/06/2024,False
10,Platinum Castle Hills,10101,1x1,845,1457,02/07/2024,False
11,Platinum Castle Hills,10101,1x1,845,1457,02/08/2024,False
12,Platinum Castle Hills,10101,1x1,845,1478,02/09/2024,False
13,Platinum Castle Hills,10101,1x1,845,1470,02/10/2024,False
14,Platinum Castle Hills,10101,1x1,845,1470,02/11/2024,False
15,Platinum Castle Hills,10101,1x1,845,1470,02/12/2024,False
16,Platinum Castle Hills,10101,1x1,845,1480,02/13/2024,False
17,Platinum Castle Hills,10101,1x1,845,1480,02/14/2024,False
18,Platinum Castle Hills,10101,1x1,845,1480,02/15/2024,False
19,Platinum Castle Hills,10101,1x1,845,1480,02/16/2024,False
20,Platinum Castle Hills,10101,1x1,845,1551,02/17/2024,False
21,Platinum Castle Hills,10101,1x1,845,1551,02/18/2024,False
22,Platinum Castle Hills,10101,1x1,845,1551,02/19/2024,False
23,Platinum Castle Hills,10101,1x1,845,1551,02/20/2024,False
24,Platinum Castle Hills,10101,1x1,845,1483,02/21/2024,False
25,Platinum Castle Hills,10101,1x1,845,1548,02/22/2024,False
26,Platinum Castle Hills,10101,1x1,845,1548,02/23/2024,False
27,Platinum Castle Hills,10101,1x1,845,1548,02/24/2024,False
28,Platinum Castle Hills,10101,1x1,845,1548,02/25/2024,False
29,Platinum Castle Hills,10101,1x1,845,1548,02/26/2024,False
30,Platinum Castle Hills,10101,1x1,845,1548,02/27/2024,False
31,Platinum Castle Hills,10101,1x1,845,1548,02/28/2024,False
32,Platinum Castle Hills,10101,1x1,845,1518,02/29/2024,False
33,Platinum Castle Hills,10101,1x1,845,1518,03/01/2024,False
34,Platinum Castle Hills,10101,1x1,845,1522,03/02/2024,False
35,Platinum Castle Hills,10101,1x1,845,1522,03/03/2024,False
36,Platinum Castle Hills,10101,1x1,845,1522,03/04/2024,False
37,Platinum Castle Hills,10101,1x1,845,1522,03/05/2024,False
38,Platinum Castle Hills,10101,1x1,845,1522,03/06/2024,False
39,Platinum Castle Hills,10101,1x1,845,1522,03/07/2024,False
40,Platinum Castle Hills,10101,1x1,845,1522,03/08/2024,False
41,Platinum Castle Hills,10101,1x1,845,1522,03/09/2024,False
42,Platinum Castle Hills,10101,1x1,845,1522,03/10/2024,False
43,Platinum Castle Hills,10101,1x1,845,1564,03/11/2024,False
44,Platinum Castle Hills,10101,1x1,845,1564,03/12/2024,False
45,Platinum Castle Hills,10101,1x1,845,1564,03/13/2024,False
46,Platinum Castle Hills,10101,1x1,845,1564,03/14/2024,False
47,Platinum Castle Hills,10101,1x1,845,1564,03/15/2024,False
48,Platinum Castle Hills,10101,1x1,845,1564,03/16/2024,False
49,Platinum Castle Hills,10101,1x1,845,1564,03/17/2024,False
50,Platinum Castle Hills,10101,1x1,845,1564,03/18/2024,False
51,Platinum Castle Hills,10101,1x1,845,1564,03/19/2024,False
52,Platinum Castle Hills,10101,1x1,845,1564,03/20/2024,False
53,Platinum Castle Hills,10101,1x1,845,1564,03/21/2024,False
54,Platinum Castle Hills,10101,1x1,845,1564,03/22/2024,False
55,Platinum Castle Hills,10101,1x1,845,1564,03/23/2024,False
56,Platinum Castle Hills,10101,1x1,845,1564,03/24/2024,False
57,Platinum Castle Hills,10101,1x1,845,1564,03/25/2024,False
58,Platinum Castle Hills,10101,1x1,845,1564,03/26/2024,False
59,Platinum Castle Hills,10101,1x1,845,1564,03/27/2024,False
60,Platinum Castle Hills,10101,1x1,845,1564,03/28/2024,False
61,Platinum Castle Hills,10101,1x1,845,1564,03/29/2024,False
62,Platinum Castle Hills,10101,1x1,845,1564,03/30/2024,False
63,Platinum Castle Hills,10101,1x1,845,1564,03/31/2024,False
64,Platinum Castle Hills,10101,1x1,845,1564,04/01/2024,False
65,Platinum Castle Hills,10101,1x1,845,1564,04/02/2024,False
66,Platinum Castle Hills,10101,1x1,845,1564,04/03/2024,False
67,Platinum Castle Hills,10101,1x1,845,1564,04/04/2024,False
68,Platinum Castle Hills,10101,1x1,845,1564,04/05/2024,False
69,Platinum Castle Hills,10101,1x1,845,1564,04/06/2024,False
70,Platinum Castle Hills,10101,1x1,845,1564,04/07/2024,False
71,Platinum Castle Hills,10101,1x1,845,1564,04/08/2024,False
72,Platinum Castle Hills,10101,1x1,845,1564,04/09/2024,False
73,Platinum Castle Hills,10101,1x1,845,1564,04/10/2024,False
74,Platinum Castle Hills,10101,1x1,845,1564,04/11/2024,False
75,Platinum Castle Hills,10101,1x1,845,1564,04/12/2024,False
76,Platinum Castle Hills,10101,1x1,845,1564,04/13/2024,False
77,Platinum Castle Hills,10101,1x1,845,1564,04/14/2024,False
78,Platinum Castle Hills,10101,1x1,845,1564,04/15/2024,False
79,Platinum Castle Hills,10101,1x1,845,1564,04/16/2024,False
80,Platinum Castle Hills,10101,1x1,845,1564,04/17/2024,False
81,Platinum Castle Hills,10101,1x1,845,1564,04/18/2024,False
82,Platinum Castle Hills,10101,1x1,845,1564,04/19/2024,False
83,Platinum Castle Hills,10101,1x1,845,1564,04/20/2024,False
84,Platinum Castle Hills,10101,1x1,845,1564,04/21/2024,False
85,Platinum Castle Hills,10101,1x1,845,1564,04/22/2024,False
86,Platinum Castle Hills,10101,1x1,845,1564,04/23/2024,False
87,Platinum Castle Hills,10101,1x1,845,1564,04/24/2024,False
88,Platinum Castle Hills,10101,1x1,845,1564,04/25/2024,False
89,Platinum Castle Hills,10101,1x1,845,1564,04/26/2024,False
90,Platinum Castle Hills,10101,1x1,845,1564,04/27/2024,False
91,Platinum Castle Hills,10101,1x1,845,1522,04/28/2024,False
92,Platinum Castle Hills,10101,1x1,845,1522,04/29/2024,False
93,Platinum Castle Hills,10101,1x1,845,1522,04/30/2024,False
94,Platinum Castle Hills,10101,1x1,845,1522,05/01/2024,False
95,Platinum Castle Hills,10101,1x1,845,1522,05/02/2024,False
96,Platinum Castle Hills,10101,1x1,845,1522,05/03/2024,False
97,Platinum Castle Hills,10101,1x1,845,1522,05/04/2024,False
98,Platinum Castle Hills,10101,1x1,845,1522,05/05/2024,False
99,Platinum Castle Hills,10101,1x1,845,1564,05/06/2024,False
100,Platinum Castle Hills,10101,1x1,845,1564,05/07/2024,False
101,Platinum Castle Hills,10101,1x1,845,1564,05/08/2024,False
102,Platinum Castle Hills,10101,1x1,845,1564,05/09/2024,False
103,Platinum Castle Hills,10101,1x1,845,1564,05/10/2024,False
104,Platinum Castle Hills,10101,1x1,845,1564,05/11/2024,False
