,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Pointe at Research Park,014-1101,2x2,1293,1760,01/24/2024,False
1,Pointe at Research Park,014-1101,2x2,1293,1765,01/25/2024,False
2,Pointe at Research Park,014-1101,2x2,1293,1765,01/26/2024,False
3,Pointe at Research Park,014-1101,2x2,1293,1765,01/27/2024,False
4,Pointe at Research Park,014-1101,2x2,1293,1765,01/28/2024,False
5,Pointe at Research Park,014-1101,2x2,1293,1765,01/29/2024,False
6,Pointe at Research Park,014-1101,2x2,1293,1765,01/30/2024,False
7,Pointe at Research Park,014-1101,2x2,1293,1765,01/31/2024,False
8,Pointe at Research Park,014-1101,2x2,1293,1765,02/01/2024,False
9,Pointe at Research Park,014-1101,2x2,1293,1751,02/02/2024,False
10,Pointe at Research Park,014-1101,2x2,1293,1746,02/03/2024,False
11,Pointe at Research Park,014-1101,2x2,1293,1737,02/04/2024,False
12,Pointe at Research Park,014-1101,2x2,1293,1737,02/05/2024,False
13,Pointe at Research Park,014-1101,2x2,1293,1737,02/06/2024,False
14,Pointe at Research Park,014-1101,2x2,1293,1737,02/07/2024,False
15,Pointe at Research Park,014-1101,2x2,1293,1737,02/08/2024,False
16,Pointe at Research Park,014-1101,2x2,1293,1737,02/09/2024,False
17,Pointe at Research Park,014-1101,2x2,1293,1737,02/10/2024,False
18,Pointe at Research Park,014-1101,2x2,1293,1737,02/11/2024,False
19,Pointe at Research Park,014-1101,2x2,1293,1737,02/12/2024,False
20,Pointe at Research Park,014-1101,2x2,1293,1737,02/13/2024,False
21,Pointe at Research Park,014-1101,2x2,1293,1749,02/14/2024,False
22,Pointe at Research Park,014-1101,2x2,1293,1749,02/15/2024,False
23,Pointe at Research Park,014-1101,2x2,1293,1749,02/16/2024,False
24,Pointe at Research Park,014-1101,2x2,1293,1749,02/17/2024,False
25,Pointe at Research Park,014-1101,2x2,1293,1749,02/18/2024,False
26,Pointe at Research Park,014-1101,2x2,1293,1749,02/19/2024,False
27,Pointe at Research Park,014-1101,2x2,1293,1749,02/20/2024,False
28,Pointe at Research Park,014-1101,2x2,1293,1749,02/21/2024,False
29,Pointe at Research Park,014-1101,2x2,1293,1749,02/22/2024,False
30,Pointe at Research Park,014-1101,2x2,1293,1749,02/23/2024,False
31,Pointe at Research Park,014-1101,2x2,1293,1749,02/24/2024,False
32,Pointe at Research Park,014-1101,2x2,1293,1749,02/25/2024,False
33,Pointe at Research Park,014-1101,2x2,1293,1749,02/26/2024,False
34,Pointe at Research Park,014-1101,2x2,1293,1749,02/27/2024,False
35,Pointe at Research Park,014-1101,2x2,1293,1749,02/28/2024,False
36,Pointe at Research Park,014-1101,2x2,1293,1749,02/29/2024,False
37,Pointe at Research Park,014-1101,2x2,1293,1749,03/01/2024,False
38,Pointe at Research Park,014-1101,2x2,1293,1749,03/02/2024,False
39,Pointe at Research Park,014-1101,2x2,1293,1749,03/03/2024,False
40,Pointe at Research Park,014-1101,2x2,1293,1749,03/04/2024,False
41,Pointe at Research Park,014-1101,2x2,1293,1749,03/05/2024,False
42,Pointe at Research Park,014-1101,2x2,1293,1749,03/06/2024,False
43,Pointe at Research Park,014-1101,2x2,1293,1749,03/07/2024,False
44,Pointe at Research Park,014-1101,2x2,1293,1895,03/08/2024,False
45,Pointe at Research Park,014-1101,2x2,1293,1895,03/09/2024,False
46,Pointe at Research Park,014-1101,2x2,1293,1895,03/10/2024,False
47,Pointe at Research Park,014-1101,2x2,1293,1895,03/11/2024,False
48,Pointe at Research Park,014-1101,2x2,1293,1895,03/12/2024,False
49,Pointe at Research Park,014-1101,2x2,1293,1895,03/13/2024,False
50,Pointe at Research Park,014-1101,2x2,1293,1895,03/14/2024,False
51,Pointe at Research Park,014-1101,2x2,1293,1895,03/15/2024,False
52,Pointe at Research Park,014-1101,2x2,1293,1895,03/16/2024,False
53,Pointe at Research Park,014-1101,2x2,1293,1895,03/17/2024,False
54,Pointe at Research Park,014-1101,2x2,1293,1895,03/18/2024,False
55,Pointe at Research Park,014-1101,2x2,1293,1895,03/19/2024,False
56,Pointe at Research Park,014-1101,2x2,1293,1895,03/20/2024,False
57,Pointe at Research Park,014-1101,2x2,1293,1895,03/21/2024,False
58,Pointe at Research Park,014-1101,2x2,1293,1895,03/22/2024,False
59,Pointe at Research Park,014-1101,2x2,1293,1895,03/23/2024,False
60,Pointe at Research Park,014-1101,2x2,1293,1895,03/24/2024,False
61,Pointe at Research Park,014-1101,2x2,1293,1895,03/25/2024,False
62,Pointe at Research Park,014-1101,2x2,1293,1895,03/26/2024,False
63,Pointe at Research Park,014-1101,2x2,1293,1895,03/27/2024,False
64,Pointe at Research Park,014-1101,2x2,1293,1895,03/28/2024,False
65,Pointe at Research Park,014-1101,2x2,1293,1845,03/29/2024,False
66,Pointe at Research Park,014-1101,2x2,1293,1845,03/30/2024,False
67,Pointe at Research Park,014-1101,2x2,1293,1845,03/31/2024,False
68,Pointe at Research Park,014-1101,2x2,1293,1845,04/01/2024,False
69,Pointe at Research Park,014-1101,2x2,1293,1845,04/02/2024,False
70,Pointe at Research Park,014-1101,2x2,1293,1845,04/03/2024,False
71,Pointe at Research Park,014-1101,2x2,1293,1845,04/04/2024,False
72,Pointe at Research Park,014-1101,2x2,1293,1845,04/05/2024,True
73,Pointe at Research Park,014-1103,1x1,881,1650,06/21/2023,False
74,Pointe at Research Park,014-1103,1x1,881,1650,06/22/2023,False
75,Pointe at Research Park,014-1103,1x1,881,1645,06/23/2023,False
76,Pointe at Research Park,014-1103,1x1,881,1640,06/24/2023,False
77,Pointe at Research Park,014-1103,1x1,881,1635,06/25/2023,False
78,Pointe at Research Park,014-1103,1x1,881,1635,06/26/2023,False
79,Pointe at Research Park,014-1103,1x1,881,1635,06/27/2023,False
80,Pointe at Research Park,014-1103,1x1,881,1635,06/28/2023,False
81,Pointe at Research Park,014-1103,1x1,881,1635,06/29/2023,True
82,Pointe at Research Park,014-1103,1x1,881,1530,12/03/2024,False
83,Pointe at Research Park,014-1103,1x1,881,1530,12/04/2024,False
84,Pointe at Research Park,014-1103,1x1,881,1530,12/05/2024,False
85,Pointe at Research Park,014-1103,1x1,881,1530,12/06/2024,False
86,Pointe at Research Park,014-1103,1x1,881,1530,12/07/2024,False
87,Pointe at Research Park,014-1103,1x1,881,1530,12/08/2024,False
88,Pointe at Research Park,014-1103,1x1,881,1530,12/09/2024,False
89,Pointe at Research Park,014-1103,1x1,881,1530,12/10/2024,False
90,Pointe at Research Park,014-1103,1x1,881,1530,12/11/2024,False
91,Pointe at Research Park,014-1103,1x1,881,1530,12/12/2024,False
92,Pointe at Research Park,014-1103,1x1,881,1530,12/13/2024,True
93,Pointe at Research Park,014-1105,1x1,797,1425,11/15/2024,False
94,Pointe at Research Park,014-1105,1x1,797,1430,11/16/2024,False
95,Pointe at Research Park,014-1105,1x1,797,1435,11/17/2024,False
96,Pointe at Research Park,014-1105,1x1,797,1435,11/18/2024,False
97,Pointe at Research Park,014-1105,1x1,797,1440,11/19/2024,False
98,Pointe at Research Park,014-1105,1x1,797,1445,11/20/2024,False
99,Pointe at Research Park,014-1105,1x1,797,1450,11/21/2024,False
100,Pointe at Research Park,014-1105,1x1,797,1455,11/22/2024,False
101,Pointe at Research Park,014-1105,1x1,797,1460,11/23/2024,False
102,Pointe at Research Park,014-1105,1x1,797,1465,11/24/2024,False
103,Pointe at Research Park,014-1105,1x1,797,1470,11/25/2024,False
104,Pointe at Research Park,014-1105,1x1,797,1475,11/26/2024,False
105,Pointe at Research Park,014-1105,1x1,797,1480,11/27/2024,False
106,Pointe at Research Park,014-1105,1x1,797,1470,11/28/2024,False
107,Pointe at Research Park,014-1105,1x1,797,1460,11/29/2024,False
108,Pointe at Research Park,014-1105,1x1,797,1445,11/30/2024,False
109,Pointe at Research Park,014-1105,1x1,797,1430,12/01/2024,False
110,Pointe at Research Park,014-1105,1x1,797,1425,12/02/2024,False
111,Pointe at Research Park,014-1105,1x1,797,1425,12/03/2024,False
112,Pointe at Research Park,014-1105,1x1,797,1425,12/04/2024,False
113,Pointe at Research Park,014-1105,1x1,797,1425,12/05/2024,False
114,Pointe at Research Park,014-1105,1x1,797,1425,12/06/2024,False
115,Pointe at Research Park,014-1105,1x1,797,1425,12/07/2024,False
116,Pointe at Research Park,014-1105,1x1,797,1425,12/08/2024,False
117,Pointe at Research Park,014-1105,1x1,797,1425,12/09/2024,False
118,Pointe at Research Park,014-1105,1x1,797,1425,12/10/2024,False
119,Pointe at Research Park,014-1105,1x1,797,1425,12/11/2024,False
120,Pointe at Research Park,014-1105,1x1,797,1425,12/12/2024,False
121,Pointe at Research Park,014-1105,1x1,797,1425,12/13/2024,False
122,Pointe at Research Park,014-1105,1x1,797,1425,12/14/2024,False
123,Pointe at Research Park,014-1105,1x1,797,1430,12/15/2024,False
124,Pointe at Research Park,014-1105,1x1,797,1435,12/16/2024,False
125,Pointe at Research Park,014-1105,1x1,797,1435,12/17/2024,False
126,Pointe at Research Park,014-1105,1x1,797,1435,12/18/2024,False
127,Pointe at Research Park,014-1105,1x1,797,1435,12/19/2024,False
128,Pointe at Research Park,014-1105,1x1,797,1435,12/20/2024,False
129,Pointe at Research Park,014-1105,1x1,797,1435,12/21/2024,False
130,Pointe at Research Park,014-1105,1x1,797,1430,12/22/2024,False
131,Pointe at Research Park,014-1105,1x1,797,1425,12/23/2024,False
132,Pointe at Research Park,014-1105,1x1,797,1425,12/24/2024,False
133,Pointe at Research Park,014-1105,1x1,797,1425,12/25/2024,False
134,Pointe at Research Park,014-1105,1x1,797,1425,12/26/2024,False
135,Pointe at Research Park,014-1105,1x1,797,1425,12/27/2024,False
136,Pointe at Research Park,014-1105,1x1,797,1425,12/28/2024,False
137,Pointe at Research Park,014-1105,1x1,797,1425,12/29/2024,False
138,Pointe at Research Park,014-1105,1x1,797,1425,12/30/2024,False
139,Pointe at Research Park,014-1105,1x1,797,1425,12/31/2024,False
140,Pointe at Research Park,014-1105,1x1,797,1425,01/01/2025,False
141,Pointe at Research Park,014-1105,1x1,797,1425,01/02/2025,False
142,Pointe at Research Park,014-1105,1x1,797,1425,01/03/2025,False
143,Pointe at Research Park,014-1105,1x1,797,1425,01/04/2025,False
144,Pointe at Research Park,014-1105,1x1,797,1425,01/05/2025,False
145,Pointe at Research Park,014-1105,1x1,797,1425,01/06/2025,False
146,Pointe at Research Park,014-1105,1x1,797,1425,01/07/2025,False
147,Pointe at Research Park,014-1105,1x1,797,1425,01/08/2025,False
148,Pointe at Research Park,014-1105,1x1,797,1425,01/09/2025,False
149,Pointe at Research Park,014-1105,1x1,797,1425,01/10/2025,False
150,Pointe at Research Park,014-1105,1x1,797,1425,01/11/2025,False
151,Pointe at Research Park,014-1105,1x1,797,1425,01/12/2025,False
152,Pointe at Research Park,014-1105,1x1,797,1425,01/13/2025,False
153,Pointe at Research Park,014-1105,1x1,797,1315,01/14/2025,False
154,Pointe at Research Park,014-1105,1x1,797,1315,01/15/2025,False
155,Pointe at Research Park,014-1105,1x1,797,1315,01/16/2025,False
156,Pointe at Research Park,014-1105,1x1,797,1315,01/17/2025,False
157,Pointe at Research Park,014-1105,1x1,797,1315,01/18/2025,False
158,Pointe at Research Park,014-1105,1x1,797,1315,01/19/2025,False
159,Pointe at Research Park,014-1105,1x1,797,1315,01/20/2025,False
160,Pointe at Research Park,014-1105,1x1,797,1315,01/21/2025,False
161,Pointe at Research Park,014-1105,1x1,797,1315,01/22/2025,False
162,Pointe at Research Park,014-1105,1x1,797,1315,01/23/2025,False
163,Pointe at Research Park,014-1105,1x1,797,1315,01/24/2025,False
164,Pointe at Research Park,014-1105,1x1,797,1315,01/25/2025,False
165,Pointe at Research Park,014-1105,1x1,797,1315,01/26/2025,False
166,Pointe at Research Park,014-1105,1x1,797,1315,01/27/2025,False
167,Pointe at Research Park,014-1105,1x1,797,1315,01/28/2025,False
168,Pointe at Research Park,014-1105,1x1,797,1315,01/29/2025,False
169,Pointe at Research Park,014-1105,1x1,797,1315,01/30/2025,False
170,Pointe at Research Park,014-1105,1x1,797,1315,01/31/2025,False
171,Pointe at Research Park,014-1105,1x1,797,1315,02/01/2025,False
172,Pointe at Research Park,014-1105,1x1,797,1315,02/02/2025,False
173,Pointe at Research Park,014-1105,1x1,797,1315,02/03/2025,False
174,Pointe at Research Park,014-1105,1x1,797,1315,02/04/2025,False
175,Pointe at Research Park,014-1105,1x1,797,1320,02/05/2025,False
176,Pointe at Research Park,014-1105,1x1,797,1325,02/06/2025,False
