building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/06/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/07/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/08/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/09/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/10/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/11/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/12/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/13/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/14/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/15/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/16/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/17/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/18/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/19/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/20/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/21/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/22/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/23/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/24/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/25/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/26/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/27/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/28/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/29/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/30/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,05/31/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/01/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/02/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/03/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/04/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/05/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/06/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/07/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/08/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/09/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/10/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/11/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/12/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/13/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/14/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/15/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/16/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/17/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/18/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/19/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/20/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/21/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/22/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/23/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/24/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/25/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/26/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/27/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/28/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/29/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,06/30/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/01/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/02/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/03/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/04/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/05/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/06/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/07/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/08/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/09/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/10/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/11/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/12/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/13/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/14/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/15/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/16/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/17/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/18/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/19/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/20/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/21/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/22/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/23/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/24/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/25/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/26/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/27/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/28/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/29/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/30/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,07/31/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,08/01/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,08/02/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,08/03/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,08/04/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,08/05/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,08/06/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,08/07/2024,False
Portofino at Las Colinas,"Dallas-Fort Worth-Arlington, TX",001STU,1x1,800,1000,08/08/2024,False
