,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Railway Flats,01-100,3x2,1256,2614,03/17/2024,False
1,Railway Flats,01-100,3x2,1256,2614,03/18/2024,False
2,Railway Flats,01-100,3x2,1256,2614,03/19/2024,False
3,Railway Flats,01-100,3x2,1256,2614,03/20/2024,False
4,Railway Flats,01-100,3x2,1256,2614,03/21/2024,False
5,Railway Flats,01-100,3x2,1256,2614,03/22/2024,False
6,Railway Flats,01-100,3x2,1256,2614,03/23/2024,False
7,Railway Flats,01-100,3x2,1256,2614,03/24/2024,False
8,Railway Flats,01-100,3x2,1256,2614,03/25/2024,False
9,Railway Flats,01-100,3x2,1256,2639,03/26/2024,False
10,Railway Flats,01-100,3x2,1256,2639,03/27/2024,False
11,Railway Flats,01-100,3x2,1256,2639,03/28/2024,False
12,Railway Flats,01-100,3x2,1256,2639,03/29/2024,False
13,Railway Flats,01-100,3x2,1256,2639,03/30/2024,False
14,Railway Flats,01-100,3x2,1256,2639,03/31/2024,False
15,Railway Flats,01-100,3x2,1256,2639,04/01/2024,False
16,Railway Flats,01-100,3x2,1256,2639,04/02/2024,False
17,Railway Flats,01-100,3x2,1256,2639,04/03/2024,False
18,Railway Flats,01-100,3x2,1256,2639,04/04/2024,False
19,Railway Flats,01-100,3x2,1256,2639,04/05/2024,True
20,Railway Flats,01-102,0x1,595,1306,01/19/2024,False
21,Railway Flats,01-102,0x1,595,1304,01/20/2024,False
22,Railway Flats,01-102,0x1,595,1304,01/21/2024,False
23,Railway Flats,01-102,0x1,595,1304,01/22/2024,False
24,Railway Flats,01-102,0x1,595,1304,01/23/2024,False
25,Railway Flats,01-102,0x1,595,1304,01/24/2024,False
26,Railway Flats,01-102,0x1,595,1304,01/25/2024,False
27,Railway Flats,01-102,0x1,595,1304,01/26/2024,False
28,Railway Flats,01-102,0x1,595,1304,01/27/2024,False
29,Railway Flats,01-102,0x1,595,1304,01/28/2024,False
30,Railway Flats,01-102,0x1,595,1304,01/29/2024,False
31,Railway Flats,01-102,0x1,595,1304,01/30/2024,False
32,Railway Flats,01-102,0x1,595,1304,01/31/2024,False
33,Railway Flats,01-102,0x1,595,1304,02/01/2024,False
34,Railway Flats,01-102,0x1,595,1304,02/02/2024,False
35,Railway Flats,01-102,0x1,595,1304,02/03/2024,False
36,Railway Flats,01-102,0x1,595,1304,02/04/2024,False
37,Railway Flats,01-102,0x1,595,1304,02/05/2024,False
38,Railway Flats,01-102,0x1,595,1304,02/06/2024,False
39,Railway Flats,01-102,0x1,595,1474,02/07/2024,False
40,Railway Flats,01-102,0x1,595,1473,02/08/2024,False
41,Railway Flats,01-102,0x1,595,1472,02/09/2024,False
42,Railway Flats,01-102,0x1,595,1472,02/10/2024,False
43,Railway Flats,01-102,0x1,595,1472,02/11/2024,False
44,Railway Flats,01-102,0x1,595,1472,02/12/2024,False
45,Railway Flats,01-102,0x1,595,1472,02/13/2024,False
46,Railway Flats,01-102,0x1,595,1472,02/14/2024,False
47,Railway Flats,01-102,0x1,595,1472,02/15/2024,False
48,Railway Flats,01-102,0x1,595,1472,02/16/2024,False
49,Railway Flats,01-102,0x1,595,1472,02/17/2024,False
50,Railway Flats,01-102,0x1,595,1472,02/18/2024,False
51,Railway Flats,01-102,0x1,595,1472,02/19/2024,False
52,Railway Flats,01-102,0x1,595,1472,02/20/2024,False
53,Railway Flats,01-102,0x1,595,1472,02/21/2024,False
54,Railway Flats,01-102,0x1,595,1472,02/22/2024,False
55,Railway Flats,01-102,0x1,595,1472,02/23/2024,False
56,Railway Flats,01-102,0x1,595,1472,02/24/2024,False
57,Railway Flats,01-102,0x1,595,1472,02/25/2024,False
58,Railway Flats,01-102,0x1,595,1472,02/26/2024,False
59,Railway Flats,01-102,0x1,595,1472,02/27/2024,False
60,Railway Flats,01-102,0x1,595,1472,02/28/2024,False
61,Railway Flats,01-102,0x1,595,1410,02/29/2024,False
62,Railway Flats,01-102,0x1,595,1410,03/01/2024,False
63,Railway Flats,01-102,0x1,595,1410,03/02/2024,False
64,Railway Flats,01-102,0x1,595,1410,03/03/2024,False
65,Railway Flats,01-102,0x1,595,1410,03/04/2024,False
66,Railway Flats,01-102,0x1,595,1410,03/05/2024,False
67,Railway Flats,01-102,0x1,595,1410,03/06/2024,True
68,Railway Flats,01-102,0x1,595,1575,03/04/2025,False
69,Railway Flats,01-102,0x1,595,1525,03/05/2025,False
70,Railway Flats,01-102,0x1,595,1525,03/06/2025,False
71,Railway Flats,01-102,0x1,595,1525,03/07/2025,False
72,Railway Flats,01-102,0x1,595,1525,03/08/2025,False
73,Railway Flats,01-102,0x1,595,1525,03/09/2025,False
74,Railway Flats,01-102,0x1,595,1525,03/10/2025,False
75,Railway Flats,01-102,0x1,595,1525,03/11/2025,False
76,Railway Flats,01-102,0x1,595,1525,03/12/2025,False
77,Railway Flats,01-102,0x1,595,1525,03/13/2025,False
78,Railway Flats,01-102,0x1,595,1525,03/14/2025,False
79,Railway Flats,01-102,0x1,595,1525,03/15/2025,False
80,Railway Flats,01-102,0x1,595,1525,03/16/2025,False
81,Railway Flats,01-102,0x1,595,1525,03/17/2025,False
82,Railway Flats,01-102,0x1,595,1525,03/18/2025,False
83,Railway Flats,01-102,0x1,595,1525,03/19/2025,False
84,Railway Flats,01-102,0x1,595,1398,03/20/2025,False
85,Railway Flats,01-102,0x1,595,1398,03/21/2025,True
86,Railway Flats,01-104,1x1,828,1813,03/20/2024,False
87,Railway Flats,01-104,1x1,828,1813,03/21/2024,False
88,Railway Flats,01-104,1x1,828,1813,03/22/2024,False
89,Railway Flats,01-104,1x1,828,1813,03/23/2024,False
90,Railway Flats,01-104,1x1,828,1813,03/24/2024,False
