,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Red Tail by Baron,A-101,2x2,1120,1775,12/06/2024,False
1,Red Tail by Baron,A-101,2x2,1120,1775,12/07/2024,False
2,Red Tail by Baron,A-101,2x2,1120,1775,12/08/2024,False
3,Red Tail by Baron,A-101,2x2,1120,1775,12/09/2024,False
4,Red Tail by Baron,A-101,2x2,1120,1775,12/10/2024,False
5,Red Tail by Baron,A-101,2x2,1120,1775,12/11/2024,False
6,Red Tail by Baron,A-101,2x2,1120,1775,12/12/2024,False
7,Red Tail by Baron,A-101,2x2,1120,1775,12/13/2024,False
8,Red Tail by Baron,A-101,2x2,1120,1748,12/14/2024,False
9,Red Tail by Baron,A-101,2x2,1120,1748,12/15/2024,False
10,Red Tail by Baron,A-101,2x2,1120,1748,12/16/2024,False
11,Red Tail by Baron,A-101,2x2,1120,1748,12/17/2024,False
12,Red Tail by Baron,A-101,2x2,1120,1748,12/18/2024,False
13,Red Tail by Baron,A-101,2x2,1120,1765,12/19/2024,False
14,Red Tail by Baron,A-101,2x2,1120,1765,12/20/2024,False
15,Red Tail by Baron,A-101,2x2,1120,1765,12/21/2024,False
16,Red Tail by Baron,A-101,2x2,1120,1765,12/22/2024,False
17,Red Tail by Baron,A-101,2x2,1120,1765,12/23/2024,False
18,Red Tail by Baron,A-101,2x2,1120,1765,12/24/2024,False
19,Red Tail by Baron,A-101,2x2,1120,1765,12/25/2024,False
20,Red Tail by Baron,A-101,2x2,1120,1765,12/26/2024,False
21,Red Tail by Baron,A-101,2x2,1120,1761,12/27/2024,False
22,Red Tail by Baron,A-101,2x2,1120,1761,12/28/2024,False
23,Red Tail by Baron,A-101,2x2,1120,1761,12/29/2024,False
24,Red Tail by Baron,A-101,2x2,1120,1761,12/30/2024,False
25,Red Tail by Baron,A-101,2x2,1120,1761,12/31/2024,False
26,Red Tail by Baron,A-101,2x2,1120,1761,01/01/2025,False
27,Red Tail by Baron,A-101,2x2,1120,1761,01/02/2025,False
28,Red Tail by Baron,A-101,2x2,1120,1761,01/03/2025,False
29,Red Tail by Baron,A-101,2x2,1120,1761,01/04/2025,False
30,Red Tail by Baron,A-101,2x2,1120,1761,01/05/2025,False
31,Red Tail by Baron,A-101,2x2,1120,1761,01/06/2025,False
32,Red Tail by Baron,A-101,2x2,1120,1761,01/07/2025,False
33,Red Tail by Baron,A-101,2x2,1120,1761,01/08/2025,False
34,Red Tail by Baron,A-101,2x2,1120,1761,01/09/2025,False
35,Red Tail by Baron,A-101,2x2,1120,1761,01/10/2025,False
36,Red Tail by Baron,A-101,2x2,1120,1761,01/11/2025,False
37,Red Tail by Baron,A-101,2x2,1120,1761,01/12/2025,False
38,Red Tail by Baron,A-101,2x2,1120,1761,01/13/2025,False
39,Red Tail by Baron,A-101,2x2,1120,1761,01/14/2025,False
40,Red Tail by Baron,A-101,2x2,1120,1761,01/15/2025,False
41,Red Tail by Baron,A-101,2x2,1120,1761,01/16/2025,False
42,Red Tail by Baron,A-101,2x2,1120,1761,01/17/2025,False
43,Red Tail by Baron,A-101,2x2,1120,1761,01/18/2025,False
44,Red Tail by Baron,A-101,2x2,1120,1761,01/19/2025,False
45,Red Tail by Baron,A-101,2x2,1120,1761,01/20/2025,False
46,Red Tail by Baron,A-101,2x2,1120,1761,01/21/2025,False
47,Red Tail by Baron,A-101,2x2,1120,1761,01/22/2025,False
48,Red Tail by Baron,A-101,2x2,1120,1761,01/23/2025,False
49,Red Tail by Baron,A-101,2x2,1120,1761,01/24/2025,False
50,Red Tail by Baron,A-101,2x2,1120,1761,01/25/2025,False
51,Red Tail by Baron,A-101,2x2,1120,1761,01/26/2025,False
52,Red Tail by Baron,A-101,2x2,1120,1761,01/27/2025,False
53,Red Tail by Baron,A-101,2x2,1120,1761,01/28/2025,False
54,Red Tail by Baron,A-101,2x2,1120,1761,01/29/2025,False
55,Red Tail by Baron,A-101,2x2,1120,1761,01/30/2025,False
56,Red Tail by Baron,A-101,2x2,1120,1761,01/31/2025,False
57,Red Tail by Baron,A-101,2x2,1120,1761,02/01/2025,False
58,Red Tail by Baron,A-101,2x2,1120,1761,02/02/2025,False
59,Red Tail by Baron,A-101,2x2,1120,1761,02/03/2025,False
60,Red Tail by Baron,A-101,2x2,1120,1761,02/04/2025,False
61,Red Tail by Baron,A-101,2x2,1120,1761,02/05/2025,False
62,Red Tail by Baron,A-101,2x2,1120,1714,02/06/2025,False
63,Red Tail by Baron,A-101,2x2,1120,1714,02/07/2025,False
64,Red Tail by Baron,A-101,2x2,1120,1714,02/08/2025,False
65,Red Tail by Baron,A-101,2x2,1120,1714,02/09/2025,False
66,Red Tail by Baron,A-101,2x2,1120,1714,02/10/2025,False
67,Red Tail by Baron,A-101,2x2,1120,1714,02/11/2025,False
68,Red Tail by Baron,A-101,2x2,1120,1714,02/12/2025,False
69,Red Tail by Baron,A-101,2x2,1120,1668,02/13/2025,False
70,Red Tail by Baron,A-101,2x2,1120,1668,02/14/2025,False
71,Red Tail by Baron,A-101,2x2,1120,1668,02/15/2025,False
72,Red Tail by Baron,A-101,2x2,1120,1668,02/16/2025,False
73,Red Tail by Baron,A-101,2x2,1120,1668,02/17/2025,False
74,Red Tail by Baron,A-101,2x2,1120,1668,02/18/2025,False
75,Red Tail by Baron,A-101,2x2,1120,1668,02/19/2025,False
76,Red Tail by Baron,A-101,2x2,1120,1668,02/20/2025,False
77,Red Tail by Baron,A-101,2x2,1120,1668,02/21/2025,False
78,Red Tail by Baron,A-101,2x2,1120,1668,02/22/2025,False
79,Red Tail by Baron,A-101,2x2,1120,1668,02/23/2025,False
80,Red Tail by Baron,A-101,2x2,1120,1668,02/24/2025,False
81,Red Tail by Baron,A-101,2x2,1120,1668,02/25/2025,False
82,Red Tail by Baron,A-101,2x2,1120,1668,02/26/2025,True
83,Red Tail by Baron,A-102,2x2,1120,1800,07/01/2023,False
84,Red Tail by Baron,A-102,2x2,1120,1800,07/02/2023,False
85,Red Tail by Baron,A-102,2x2,1120,1800,07/03/2023,False
86,Red Tail by Baron,A-102,2x2,1120,1800,07/04/2023,False
87,Red Tail by Baron,A-102,2x2,1120,1800,07/05/2023,False
88,Red Tail by Baron,A-102,2x2,1120,1765,07/06/2023,False
89,Red Tail by Baron,A-102,2x2,1120,1765,07/07/2023,False
90,Red Tail by Baron,A-102,2x2,1120,1790,07/08/2023,False
91,Red Tail by Baron,A-102,2x2,1120,1790,07/09/2023,False
92,Red Tail by Baron,A-102,2x2,1120,1790,07/10/2023,False
93,Red Tail by Baron,A-102,2x2,1120,1790,07/11/2023,False
94,Red Tail by Baron,A-102,2x2,1120,1790,07/12/2023,False
95,Red Tail by Baron,A-102,2x2,1120,1790,07/13/2023,False
96,Red Tail by Baron,A-102,2x2,1120,1790,07/14/2023,False
97,Red Tail by Baron,A-102,2x2,1120,1790,07/15/2023,False
98,Red Tail by Baron,A-102,2x2,1120,1790,07/16/2023,False
99,Red Tail by Baron,A-102,2x2,1120,1790,07/17/2023,False
100,Red Tail by Baron,A-102,2x2,1120,1790,07/18/2023,False
101,Red Tail by Baron,A-102,2x2,1120,1790,07/19/2023,False
102,Red Tail by Baron,A-102,2x2,1120,1790,07/20/2023,False
103,Red Tail by Baron,A-102,2x2,1120,1790,07/21/2023,False
104,Red Tail by Baron,A-102,2x2,1120,1790,07/22/2023,False
105,Red Tail by Baron,A-102,2x2,1120,1790,07/23/2023,False
106,Red Tail by Baron,A-102,2x2,1120,1790,07/24/2023,False
107,Red Tail by Baron,A-102,2x2,1120,1790,07/25/2023,False
108,Red Tail by Baron,A-102,2x2,1120,1769,07/26/2023,False
109,Red Tail by Baron,A-102,2x2,1120,1707,07/27/2023,False
110,Red Tail by Baron,A-102,2x2,1120,1707,07/28/2023,False
111,Red Tail by Baron,A-102,2x2,1120,1707,07/29/2023,False
112,Red Tail by Baron,A-102,2x2,1120,1707,07/30/2023,False
