,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Reserve at Easton,B1-4410KC,2x1.5,1100,1505,08/07/2024,False
1,Reserve at Easton,B1-4410KC,2x1.5,1100,1505,08/08/2024,False
2,Reserve at Easton,B1-4410KC,2x1.5,1100,1505,08/09/2024,True
3,Reserve at Easton,B1-4410KC,2x1.5,1100,1537,02/19/2025,False
4,Reserve at Easton,B1-4410KC,2x1.5,1100,1537,02/20/2025,False
5,Reserve at Easton,B1-4410KC,2x1.5,1100,1541,02/21/2025,False
6,Reserve at Easton,B1-4410KC,2x1.5,1100,1541,02/22/2025,False
7,Reserve at Easton,B1-4410KC,2x1.5,1100,1548,02/23/2025,False
8,Reserve at Easton,B1-4410KC,2x1.5,1100,1545,02/24/2025,False
9,Reserve at Easton,B1-4410KC,2x1.5,1100,1548,02/25/2025,False
10,Reserve at Easton,B1-4410KC,2x1.5,1100,1548,02/26/2025,False
11,Reserve at Easton,B1-4410KC,2x1.5,1100,1545,02/27/2025,False
12,Reserve at Easton,B1-4410KC,2x1.5,1100,1545,02/28/2025,False
13,Reserve at Easton,B1-4410KC,2x1.5,1100,1545,03/01/2025,False
14,Reserve at Easton,B1-4410KC,2x1.5,1100,1534,03/02/2025,False
15,Reserve at Easton,B1-4410KC,2x1.5,1100,1538,03/03/2025,False
16,Reserve at Easton,B1-4410KC,2x1.5,1100,1538,03/04/2025,False
17,Reserve at Easton,B1-4410KC,2x1.5,1100,1534,03/05/2025,False
18,Reserve at Easton,B1-4410KC,2x1.5,1100,1538,03/06/2025,False
19,Reserve at Easton,B1-4410KC,2x1.5,1100,1538,03/07/2025,False
20,Reserve at Easton,B1-4410KC,2x1.5,1100,1538,03/08/2025,False
21,Reserve at Easton,B1-4410KC,2x1.5,1100,1534,03/09/2025,False
22,Reserve at Easton,B1-4410KC,2x1.5,1100,1542,03/10/2025,False
23,Reserve at Easton,B1-4410KC,2x1.5,1100,1546,03/11/2025,False
24,Reserve at Easton,B1-4410KC,2x1.5,1100,1546,03/12/2025,False
25,Reserve at Easton,B1-4410KC,2x1.5,1100,1546,03/13/2025,False
26,Reserve at Easton,B1-4410KC,2x1.5,1100,1547,03/14/2025,False
27,Reserve at Easton,B1-4410KC,2x1.5,1100,1548,03/15/2025,False
28,Reserve at Easton,B1-4410KC,2x1.5,1100,1549,03/16/2025,False
29,Reserve at Easton,B1-4410KC,2x1.5,1100,1549,03/17/2025,False
30,Reserve at Easton,B1-4410KC,2x1.5,1100,1549,03/18/2025,False
31,Reserve at Easton,B1-4410KC,2x1.5,1100,1549,03/19/2025,False
32,Reserve at Easton,B1-4410KC,2x1.5,1100,1549,03/20/2025,False
33,Reserve at Easton,B1-4410KC,2x1.5,1100,1549,03/21/2025,False
34,Reserve at Easton,B1-4410KC,2x1.5,1100,1549,03/22/2025,False
35,Reserve at Easton,B1-4410KC,2x1.5,1100,1549,03/23/2025,False
36,Reserve at Easton,B1-4410KC,2x1.5,1100,1553,03/24/2025,False
37,Reserve at Easton,B1-4410KC,2x1.5,1100,1553,03/25/2025,False
38,Reserve at Easton,B1-4410KC,2x1.5,1100,1553,03/26/2025,False
39,Reserve at Easton,B1-4410KC,2x1.5,1100,1515,03/27/2025,False
40,Reserve at Easton,B1-4410KC,2x1.5,1100,1514,03/28/2025,False
41,Reserve at Easton,B1-4410KC,2x1.5,1100,1514,03/29/2025,False
42,Reserve at Easton,B1-4410KC,2x1.5,1100,1521,03/30/2025,False
43,Reserve at Easton,B1-4410KC,2x1.5,1100,1521,03/31/2025,False
44,Reserve at Easton,B1-4410KC,2x1.5,1100,1521,04/01/2025,True
45,Reserve at Easton,B1-4424KC,2x1.5,1100,1675,08/27/2024,False
46,Reserve at Easton,B1-4424KC,2x1.5,1100,1645,08/28/2024,False
47,Reserve at Easton,B1-4424KC,2x1.5,1100,1645,08/29/2024,False
48,Reserve at Easton,B1-4424KC,2x1.5,1100,1645,08/30/2024,True
49,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/14/2024,False
50,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/15/2024,False
51,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/16/2024,False
52,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/17/2024,False
53,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/18/2024,False
54,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/19/2024,False
55,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/20/2024,False
56,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/21/2024,False
57,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/22/2024,False
58,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/23/2024,False
59,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/24/2024,False
60,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/25/2024,False
61,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/26/2024,False
62,Reserve at Easton,B11-2702AT,2x1.5,1100,1610,02/27/2024,False
63,Reserve at Easton,B11-2702AT,2x1.5,1100,1560,02/28/2024,False
64,Reserve at Easton,B11-2702AT,2x1.5,1100,1560,02/29/2024,False
65,Reserve at Easton,B11-2702AT,2x1.5,1100,1560,03/01/2024,False
66,Reserve at Easton,B11-2702AT,2x1.5,1100,1560,03/02/2024,False
67,Reserve at Easton,B11-2702AT,2x1.5,1100,1560,03/03/2024,False
68,Reserve at Easton,B11-2702AT,2x1.5,1100,1560,03/04/2024,False
69,Reserve at Easton,B11-2702AT,2x1.5,1100,1510,03/05/2024,False
70,Reserve at Easton,B11-2702AT,2x1.5,1100,1510,03/06/2024,False
71,Reserve at Easton,B11-2702AT,2x1.5,1100,1510,03/07/2024,False
72,Reserve at Easton,B11-2702AT,2x1.5,1100,1450,03/08/2024,False
73,Reserve at Easton,B11-2702AT,2x1.5,1100,1450,03/09/2024,False
74,Reserve at Easton,B11-2702AT,2x1.5,1100,1450,03/10/2024,False
75,Reserve at Easton,B11-2702AT,2x1.5,1100,1450,03/11/2024,False
76,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/12/2024,False
77,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/13/2024,False
78,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/14/2024,False
79,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/15/2024,False
80,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/16/2024,False
81,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/17/2024,False
82,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/18/2024,False
83,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/19/2024,False
84,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/20/2024,False
85,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/21/2024,False
86,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/22/2024,False
87,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/23/2024,False
88,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/24/2024,False
89,Reserve at Easton,B11-2702AT,2x1.5,1100,1460,03/25/2024,False
90,Reserve at Easton,B11-2702AT,2x1.5,1100,1505,03/26/2024,False
