,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Rosemont Bentley,0102,1x1,830,1128,11/18/2023,False
1,Rosemont Bentley,0102,1x1,830,1128,11/19/2023,False
2,Rosemont Bentley,0102,1x1,830,1128,11/20/2023,False
3,Rosemont Bentley,0102,1x1,830,1128,11/21/2023,False
4,Rosemont Bentley,0102,1x1,830,1128,11/22/2023,False
5,Rosemont Bentley,0102,1x1,830,1128,11/23/2023,False
6,Rosemont Bentley,0102,1x1,830,1128,11/24/2023,False
7,Rosemont Bentley,0102,1x1,830,1128,11/25/2023,False
8,Rosemont Bentley,0102,1x1,830,1128,11/26/2023,False
9,Rosemont Bentley,0102,1x1,830,1128,11/27/2023,False
10,Rosemont Bentley,0102,1x1,830,1183,11/28/2023,False
11,Rosemont Bentley,0102,1x1,830,1144,11/29/2023,False
12,Rosemont Bentley,0102,1x1,830,1144,11/30/2023,False
13,Rosemont Bentley,0102,1x1,830,1248,12/01/2023,False
14,Rosemont Bentley,0102,1x1,830,1248,12/02/2023,False
15,Rosemont Bentley,0102,1x1,830,1248,12/03/2023,False
16,Rosemont Bentley,0102,1x1,830,1248,12/04/2023,False
17,Rosemont Bentley,0102,1x1,830,1248,12/05/2023,False
18,Rosemont Bentley,0102,1x1,830,1248,12/06/2023,False
19,Rosemont Bentley,0102,1x1,830,1248,12/07/2023,False
20,Rosemont Bentley,0102,1x1,830,1248,12/08/2023,False
21,Rosemont Bentley,0102,1x1,830,1248,12/09/2023,False
22,Rosemont Bentley,0102,1x1,830,1248,12/10/2023,False
23,Rosemont Bentley,0102,1x1,830,1248,12/11/2023,True
24,Rosemont Bentley,0104,1x1,745,1201,10/03/2023,False
25,Rosemont Bentley,0104,1x1,745,1201,10/04/2023,False
26,Rosemont Bentley,0104,1x1,745,1201,10/05/2023,False
27,Rosemont Bentley,0104,1x1,745,1201,10/06/2023,False
28,Rosemont Bentley,0104,1x1,745,1201,10/07/2023,False
29,Rosemont Bentley,0104,1x1,745,1201,10/08/2023,False
30,Rosemont Bentley,0104,1x1,745,1201,10/09/2023,False
31,Rosemont Bentley,0104,1x1,745,1201,10/10/2023,False
32,Rosemont Bentley,0104,1x1,745,1201,10/11/2023,False
33,Rosemont Bentley,0104,1x1,745,1201,10/12/2023,False
34,Rosemont Bentley,0104,1x1,745,947,10/13/2023,False
35,Rosemont Bentley,0104,1x1,745,947,10/14/2023,False
36,Rosemont Bentley,0104,1x1,745,947,10/15/2023,False
37,Rosemont Bentley,0104,1x1,745,947,10/16/2023,False
38,Rosemont Bentley,0104,1x1,745,947,10/17/2023,False
39,Rosemont Bentley,0104,1x1,745,947,10/18/2023,False
40,Rosemont Bentley,0104,1x1,745,947,10/19/2023,False
41,Rosemont Bentley,0104,1x1,745,947,10/20/2023,False
42,Rosemont Bentley,0104,1x1,745,947,10/21/2023,False
43,Rosemont Bentley,0104,1x1,745,947,10/22/2023,False
44,Rosemont Bentley,0104,1x1,745,947,10/23/2023,False
45,Rosemont Bentley,0104,1x1,745,947,10/24/2023,False
46,Rosemont Bentley,0104,1x1,745,947,10/25/2023,False
47,Rosemont Bentley,0104,1x1,745,947,10/26/2023,False
48,Rosemont Bentley,0104,1x1,745,947,10/27/2023,False
49,Rosemont Bentley,0104,1x1,745,947,10/28/2023,False
50,Rosemont Bentley,0104,1x1,745,947,10/29/2023,False
51,Rosemont Bentley,0104,1x1,745,947,10/30/2023,False
52,Rosemont Bentley,0104,1x1,745,947,10/31/2023,False
53,Rosemont Bentley,0104,1x1,745,947,11/01/2023,False
54,Rosemont Bentley,0104,1x1,745,1033,11/02/2023,False
55,Rosemont Bentley,0104,1x1,745,1033,11/03/2023,False
56,Rosemont Bentley,0104,1x1,745,1033,11/04/2023,False
57,Rosemont Bentley,0104,1x1,745,1033,11/05/2023,False
58,Rosemont Bentley,0104,1x1,745,947,11/06/2023,False
59,Rosemont Bentley,0104,1x1,745,947,11/07/2023,False
60,Rosemont Bentley,0104,1x1,745,947,11/08/2023,False
61,Rosemont Bentley,0104,1x1,745,947,11/09/2023,False
