,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/17/2023,False
1,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/18/2023,False
2,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/19/2023,False
3,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/20/2023,False
4,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/21/2023,False
5,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/22/2023,False
6,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/23/2023,False
7,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/24/2023,False
8,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/25/2023,False
9,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/26/2023,False
10,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/27/2023,False
11,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/28/2023,False
12,Skye at Hunter's Creek,1301-101,1x1,800,1680,06/29/2023,True
13,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/04/2024,False
14,Skye at Hunter's Creek,1301-101,1x1,800,1526,12/05/2024,False
15,Skye at Hunter's Creek,1301-101,1x1,800,1526,12/06/2024,False
16,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/07/2024,False
17,Skye at Hunter's Creek,1301-101,1x1,800,1526,12/08/2024,False
18,Skye at Hunter's Creek,1301-101,1x1,800,1526,12/09/2024,False
19,Skye at Hunter's Creek,1301-101,1x1,800,1526,12/10/2024,False
20,Skye at Hunter's Creek,1301-101,1x1,800,1526,12/11/2024,False
21,Skye at Hunter's Creek,1301-101,1x1,800,1526,12/12/2024,False
22,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/13/2024,False
23,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/14/2024,False
24,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/15/2024,False
25,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/16/2024,False
26,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/17/2024,False
27,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/18/2024,False
28,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/19/2024,False
29,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/20/2024,False
30,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/21/2024,False
31,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/22/2024,False
32,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/23/2024,False
33,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/24/2024,False
34,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/25/2024,False
35,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/26/2024,False
36,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/27/2024,False
37,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/28/2024,False
38,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/29/2024,False
39,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/30/2024,False
40,Skye at Hunter's Creek,1301-101,1x1,800,1665,12/31/2024,False
41,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/01/2025,False
42,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/02/2025,False
43,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/03/2025,False
44,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/04/2025,False
45,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/05/2025,False
46,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/06/2025,False
47,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/07/2025,False
48,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/08/2025,False
49,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/09/2025,False
50,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/10/2025,False
51,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/11/2025,False
52,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/12/2025,False
53,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/13/2025,False
54,Skye at Hunter's Creek,1301-101,1x1,800,1665,01/14/2025,False
55,Skye at Hunter's Creek,1301-101,1x1,800,1388,01/15/2025,False
56,Skye at Hunter's Creek,1301-101,1x1,800,1388,01/16/2025,False
57,Skye at Hunter's Creek,1301-101,1x1,800,1388,01/17/2025,False
58,Skye at Hunter's Creek,1301-101,1x1,800,1388,01/18/2025,False
59,Skye at Hunter's Creek,1301-101,1x1,800,1388,01/19/2025,False
60,Skye at Hunter's Creek,1301-101,1x1,800,1388,01/20/2025,False
61,Skye at Hunter's Creek,1301-101,1x1,800,1388,01/21/2025,False
62,Skye at Hunter's Creek,1301-101,1x1,800,1388,01/22/2025,False
63,Skye at Hunter's Creek,1301-101,1x1,800,1388,01/23/2025,False
64,Skye at Hunter's Creek,1301-101,1x1,800,1388,01/24/2025,True
65,Skye at Hunter's Creek,1301-102,2x2,1085,2065,07/12/2024,False
66,Skye at Hunter's Creek,1301-102,2x2,1085,2065,07/13/2024,False
67,Skye at Hunter's Creek,1301-102,2x2,1085,2065,07/14/2024,False
68,Skye at Hunter's Creek,1301-102,2x2,1085,2065,07/15/2024,False
69,Skye at Hunter's Creek,1301-102,2x2,1085,2065,07/16/2024,False
70,Skye at Hunter's Creek,1301-102,2x2,1085,2065,07/17/2024,False
71,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/18/2024,False
72,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/19/2024,False
73,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/20/2024,False
74,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/21/2024,False
75,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/22/2024,False
76,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/23/2024,False
77,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/24/2024,False
78,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/25/2024,False
79,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/26/2024,False
80,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/27/2024,False
81,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/28/2024,False
82,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/29/2024,False
83,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/30/2024,False
84,Skye at Hunter's Creek,1301-102,2x2,1085,1885,07/31/2024,False
85,Skye at Hunter's Creek,1301-102,2x2,1085,1885,08/01/2024,False
86,Skye at Hunter's Creek,1301-102,2x2,1085,1571,08/02/2024,False
87,Skye at Hunter's Creek,1301-102,2x2,1085,1571,08/03/2024,False
88,Skye at Hunter's Creek,1301-102,2x2,1085,1571,08/04/2024,False
89,Skye at Hunter's Creek,1301-102,2x2,1085,1571,08/05/2024,False
90,Skye at Hunter's Creek,1301-102,2x2,1085,1571,08/06/2024,False
91,Skye at Hunter's Creek,1301-102,2x2,1085,1571,08/07/2024,False
92,Skye at Hunter's Creek,1301-102,2x2,1085,1571,08/08/2024,True
