building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2092,12/07/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2092,12/08/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2173,12/09/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2173,12/10/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2173,12/11/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/12/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/13/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/14/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/15/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/16/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/17/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/18/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/19/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/20/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/21/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/22/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/23/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/24/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/25/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/26/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/27/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/28/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/29/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/30/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,12/31/2023,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/01/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/02/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/03/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/04/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/05/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/06/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/07/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/08/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/09/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/10/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/11/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/12/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/13/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/14/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/15/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/16/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/17/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/18/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/19/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/20/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/21/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/22/2024,False
Solace Timacuan,"Orlando-Kissimmee-Sanford, FL",01-200,2x2,1430,2198,01/23/2024,False
