,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Southpoint Glen,5701-11,2x2,1023,1695,06/17/2023,False
1,Southpoint Glen,5701-11,2x2,1023,1695,06/18/2023,False
2,Southpoint Glen,5701-11,2x2,1023,1695,06/19/2023,False
3,Southpoint Glen,5701-11,2x2,1023,1692,06/20/2023,False
4,Southpoint Glen,5701-11,2x2,1023,1660,06/21/2023,False
5,Southpoint Glen,5701-11,2x2,1023,1660,06/22/2023,False
6,Southpoint Glen,5701-11,2x2,1023,1660,06/23/2023,False
7,Southpoint Glen,5701-11,2x2,1023,1660,06/24/2023,False
8,Southpoint Glen,5701-11,2x2,1023,1660,06/25/2023,False
9,Southpoint Glen,5701-11,2x2,1023,1660,06/26/2023,False
10,Southpoint Glen,5701-11,2x2,1023,1660,06/27/2023,False
11,Southpoint Glen,5701-11,2x2,1023,1660,06/28/2023,False
12,Southpoint Glen,5701-11,2x2,1023,1660,06/29/2023,False
13,Southpoint Glen,5701-11,2x2,1023,1660,06/30/2023,False
14,Southpoint Glen,5701-11,2x2,1023,1660,07/01/2023,False
15,Southpoint Glen,5701-11,2x2,1023,1660,07/02/2023,False
16,Southpoint Glen,5701-11,2x2,1023,1660,07/03/2023,False
17,Southpoint Glen,5701-11,2x2,1023,1660,07/04/2023,False
18,Southpoint Glen,5701-11,2x2,1023,1660,07/05/2023,False
19,Southpoint Glen,5701-11,2x2,1023,1660,07/06/2023,False
20,Southpoint Glen,5701-11,2x2,1023,1660,07/07/2023,False
21,Southpoint Glen,5701-11,2x2,1023,1660,07/08/2023,False
22,Southpoint Glen,5701-11,2x2,1023,1660,07/09/2023,False
23,Southpoint Glen,5701-11,2x2,1023,1660,07/10/2023,False
24,Southpoint Glen,5701-11,2x2,1023,1660,07/11/2023,False
25,Southpoint Glen,5701-11,2x2,1023,1660,07/12/2023,False
26,Southpoint Glen,5701-11,2x2,1023,1660,07/13/2023,False
27,Southpoint Glen,5701-11,2x2,1023,1660,07/14/2023,False
28,Southpoint Glen,5701-11,2x2,1023,1660,07/15/2023,False
29,Southpoint Glen,5701-11,2x2,1023,1660,07/16/2023,False
30,Southpoint Glen,5701-11,2x2,1023,1660,07/17/2023,False
31,Southpoint Glen,5701-11,2x2,1023,1660,07/18/2023,False
32,Southpoint Glen,5701-11,2x2,1023,1660,07/19/2023,False
33,Southpoint Glen,5701-11,2x2,1023,1660,07/20/2023,False
34,Southpoint Glen,5701-11,2x2,1023,1660,07/21/2023,False
35,Southpoint Glen,5701-11,2x2,1023,1660,07/22/2023,False
36,Southpoint Glen,5701-11,2x2,1023,1660,07/23/2023,False
37,Southpoint Glen,5701-11,2x2,1023,1660,07/24/2023,False
38,Southpoint Glen,5701-11,2x2,1023,1660,07/25/2023,False
39,Southpoint Glen,5701-11,2x2,1023,1660,07/26/2023,False
40,Southpoint Glen,5701-11,2x2,1023,1660,07/27/2023,False
41,Southpoint Glen,5701-11,2x2,1023,1507,07/28/2023,False
42,Southpoint Glen,5701-11,2x2,1023,1507,07/29/2023,False
43,Southpoint Glen,5701-11,2x2,1023,1507,07/30/2023,True
44,Southpoint Glen,5701-11,2x2,1023,1531,10/24/2024,False
45,Southpoint Glen,5701-11,2x2,1023,1531,10/25/2024,False
46,Southpoint Glen,5701-11,2x2,1023,1531,10/26/2024,False
47,Southpoint Glen,5701-11,2x2,1023,1531,10/27/2024,False
48,Southpoint Glen,5701-11,2x2,1023,1533,10/28/2024,False
49,Southpoint Glen,5701-11,2x2,1023,1533,10/29/2024,False
50,Southpoint Glen,5701-11,2x2,1023,1482,10/30/2024,False
51,Southpoint Glen,5701-11,2x2,1023,1460,10/31/2024,False
52,Southpoint Glen,5701-11,2x2,1023,1460,11/01/2024,False
53,Southpoint Glen,5701-11,2x2,1023,1460,11/02/2024,False
54,Southpoint Glen,5701-11,2x2,1023,1460,11/03/2024,False
55,Southpoint Glen,5701-11,2x2,1023,1460,11/04/2024,False
56,Southpoint Glen,5701-11,2x2,1023,1466,11/05/2024,False
57,Southpoint Glen,5701-11,2x2,1023,1466,11/06/2024,False
58,Southpoint Glen,5701-11,2x2,1023,1419,11/07/2024,False
59,Southpoint Glen,5701-11,2x2,1023,1426,11/08/2024,False
60,Southpoint Glen,5701-11,2x2,1023,1426,11/09/2024,False
61,Southpoint Glen,5701-11,2x2,1023,1426,11/10/2024,False
62,Southpoint Glen,5701-11,2x2,1023,1378,11/11/2024,False
63,Southpoint Glen,5701-11,2x2,1023,1378,11/12/2024,False
64,Southpoint Glen,5701-11,2x2,1023,1389,11/13/2024,False
65,Southpoint Glen,5701-11,2x2,1023,1338,11/14/2024,False
66,Southpoint Glen,5701-11,2x2,1023,1318,11/15/2024,False
67,Southpoint Glen,5701-11,2x2,1023,1318,11/16/2024,False
68,Southpoint Glen,5701-11,2x2,1023,1318,11/17/2024,False
69,Southpoint Glen,5701-11,2x2,1023,1318,11/18/2024,False
70,Southpoint Glen,5701-11,2x2,1023,1318,11/19/2024,False
71,Southpoint Glen,5701-11,2x2,1023,1250,11/20/2024,False
72,Southpoint Glen,5701-11,2x2,1023,1314,11/21/2024,False
73,Southpoint Glen,5701-11,2x2,1023,1390,11/22/2024,False
74,Southpoint Glen,5701-11,2x2,1023,1390,11/23/2024,False
75,Southpoint Glen,5701-11,2x2,1023,1390,11/24/2024,False
76,Southpoint Glen,5701-11,2x2,1023,1390,11/25/2024,False
77,Southpoint Glen,5701-11,2x2,1023,1393,11/26/2024,False
78,Southpoint Glen,5701-11,2x2,1023,1465,11/27/2024,False
79,Southpoint Glen,5701-11,2x2,1023,1465,11/28/2024,False
80,Southpoint Glen,5701-11,2x2,1023,1465,11/29/2024,False
81,Southpoint Glen,5701-11,2x2,1023,1465,11/30/2024,False
82,Southpoint Glen,5701-11,2x2,1023,1465,12/01/2024,False
83,Southpoint Glen,5701-11,2x2,1023,1519,12/02/2024,False
84,Southpoint Glen,5701-11,2x2,1023,1465,12/03/2024,False
85,Southpoint Glen,5701-11,2x2,1023,1478,12/04/2024,False
86,Southpoint Glen,5701-11,2x2,1023,1478,12/05/2024,False
87,Southpoint Glen,5701-11,2x2,1023,1402,12/06/2024,False
88,Southpoint Glen,5701-11,2x2,1023,1350,12/07/2024,False
89,Southpoint Glen,5701-11,2x2,1023,1281,12/08/2024,False
90,Southpoint Glen,5701-11,2x2,1023,1281,12/09/2024,False
91,Southpoint Glen,5701-11,2x2,1023,1281,12/10/2024,False
92,Southpoint Glen,5701-11,2x2,1023,1281,12/11/2024,False
93,Southpoint Glen,5701-11,2x2,1023,1404,12/12/2024,False
94,Southpoint Glen,5701-11,2x2,1023,1381,12/13/2024,False
95,Southpoint Glen,5701-11,2x2,1023,1381,12/14/2024,False
96,Southpoint Glen,5701-11,2x2,1023,1381,12/15/2024,False
97,Southpoint Glen,5701-11,2x2,1023,1317,12/16/2024,False
98,Southpoint Glen,5701-11,2x2,1023,1296,12/17/2024,False
99,Southpoint Glen,5701-11,2x2,1023,1363,12/18/2024,False
100,Southpoint Glen,5701-11,2x2,1023,1363,12/19/2024,False
101,Southpoint Glen,5701-11,2x2,1023,1388,12/20/2024,False
102,Southpoint Glen,5701-11,2x2,1023,1388,12/21/2024,False
103,Southpoint Glen,5701-11,2x2,1023,1388,12/22/2024,False
104,Southpoint Glen,5701-11,2x2,1023,1388,12/23/2024,False
105,Southpoint Glen,5701-11,2x2,1023,1388,12/24/2024,False
106,Southpoint Glen,5701-11,2x2,1023,1388,12/25/2024,False
107,Southpoint Glen,5701-11,2x2,1023,1388,12/26/2024,False
108,Southpoint Glen,5701-11,2x2,1023,1388,12/27/2024,False
109,Southpoint Glen,5701-11,2x2,1023,1388,12/28/2024,False
110,Southpoint Glen,5701-11,2x2,1023,1388,12/29/2024,False
111,Southpoint Glen,5701-11,2x2,1023,1388,12/30/2024,False
112,Southpoint Glen,5701-11,2x2,1023,1388,12/31/2024,False
113,Southpoint Glen,5701-11,2x2,1023,1388,01/01/2025,False
114,Southpoint Glen,5701-11,2x2,1023,1388,01/02/2025,False
115,Southpoint Glen,5701-11,2x2,1023,1408,01/03/2025,False
116,Southpoint Glen,5701-11,2x2,1023,1408,01/04/2025,False
117,Southpoint Glen,5701-11,2x2,1023,1408,01/05/2025,False
118,Southpoint Glen,5701-11,2x2,1023,1408,01/06/2025,False
119,Southpoint Glen,5701-11,2x2,1023,1481,01/07/2025,False
120,Southpoint Glen,5701-11,2x2,1023,1481,01/08/2025,False
121,Southpoint Glen,5701-11,2x2,1023,1481,01/09/2025,False
122,Southpoint Glen,5701-11,2x2,1023,1481,01/10/2025,False
123,Southpoint Glen,5701-11,2x2,1023,1481,01/11/2025,False
124,Southpoint Glen,5701-11,2x2,1023,1481,01/12/2025,False
125,Southpoint Glen,5701-11,2x2,1023,1463,01/13/2025,False
126,Southpoint Glen,5701-11,2x2,1023,1463,01/14/2025,False
127,Southpoint Glen,5701-11,2x2,1023,1443,01/15/2025,False
128,Southpoint Glen,5701-11,2x2,1023,1443,01/16/2025,False
129,Southpoint Glen,5701-11,2x2,1023,1443,01/17/2025,False
130,Southpoint Glen,5701-11,2x2,1023,1443,01/18/2025,False
131,Southpoint Glen,5701-11,2x2,1023,1443,01/19/2025,False
132,Southpoint Glen,5701-11,2x2,1023,1443,01/20/2025,False
133,Southpoint Glen,5701-11,2x2,1023,1443,01/21/2025,False
134,Southpoint Glen,5701-11,2x2,1023,1443,01/22/2025,False
135,Southpoint Glen,5701-11,2x2,1023,1447,01/23/2025,False
136,Southpoint Glen,5701-11,2x2,1023,1447,01/24/2025,False
137,Southpoint Glen,5701-11,2x2,1023,1447,01/25/2025,False
