building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1829,10/05/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1829,10/06/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1829,10/07/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1792,10/08/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/09/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/10/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/11/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/12/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/13/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/14/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/15/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/16/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/17/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/18/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/19/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/20/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/21/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/22/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/23/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/24/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/25/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/26/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/27/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/28/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/29/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/30/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,10/31/2024,False
Station A Apartments,"Denver-Aurora-Lakewood, CO",1-103,1x1,809,1765,11/01/2024,False
