building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1196,06/27/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1196,06/28/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1196,06/29/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1196,06/30/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/01/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/02/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/03/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/04/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/05/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/06/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/07/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/08/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/09/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/10/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/11/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/12/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/13/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/14/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/15/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/16/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1254,07/17/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1223,07/18/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1223,07/19/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1223,07/20/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1223,07/21/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1223,07/22/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1223,07/23/2024,False
Summermill at Falls River,"Raleigh, NC",01-101,1x1,752,1223,07/24/2024,False
