,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Tacara at Stone Oak,1003,2x2,1233,2219,01/03/2024,False
1,Tacara at Stone Oak,1003,2x2,1233,2219,01/04/2024,False
2,Tacara at Stone Oak,1003,2x2,1233,2219,01/05/2024,False
3,Tacara at Stone Oak,1003,2x2,1233,2219,01/06/2024,False
4,Tacara at Stone Oak,1003,2x2,1233,2219,01/07/2024,False
5,Tacara at Stone Oak,1003,2x2,1233,2219,01/08/2024,False
6,Tacara at Stone Oak,1003,2x2,1233,2219,01/09/2024,False
7,Tacara at Stone Oak,1003,2x2,1233,2219,01/10/2024,False
8,Tacara at Stone Oak,1003,2x2,1233,2219,01/11/2024,False
9,Tacara at Stone Oak,1003,2x2,1233,2219,01/12/2024,False
10,Tacara at Stone Oak,1003,2x2,1233,2219,01/13/2024,False
11,Tacara at Stone Oak,1003,2x2,1233,2219,01/14/2024,False
12,Tacara at Stone Oak,1003,2x2,1233,2219,01/15/2024,False
13,Tacara at Stone Oak,1003,2x2,1233,2219,01/16/2024,False
14,Tacara at Stone Oak,1003,2x2,1233,2219,01/17/2024,False
15,Tacara at Stone Oak,1003,2x2,1233,2219,01/18/2024,False
16,Tacara at Stone Oak,1003,2x2,1233,2219,01/19/2024,False
17,Tacara at Stone Oak,1003,2x2,1233,2219,01/20/2024,False
18,Tacara at Stone Oak,1003,2x2,1233,2219,01/21/2024,False
19,Tacara at Stone Oak,1003,2x2,1233,2219,01/22/2024,False
20,Tacara at Stone Oak,1003,2x2,1233,2219,01/23/2024,False
21,Tacara at Stone Oak,1003,2x2,1233,2219,01/24/2024,False
22,Tacara at Stone Oak,1003,2x2,1233,2219,01/25/2024,False
23,Tacara at Stone Oak,1003,2x2,1233,2219,01/26/2024,False
24,Tacara at Stone Oak,1003,2x2,1233,2219,01/27/2024,False
25,Tacara at Stone Oak,1003,2x2,1233,2219,01/28/2024,False
26,Tacara at Stone Oak,1003,2x2,1233,2219,01/29/2024,False
27,Tacara at Stone Oak,1003,2x2,1233,2219,01/30/2024,False
28,Tacara at Stone Oak,1003,2x2,1233,2219,01/31/2024,False
29,Tacara at Stone Oak,1003,2x2,1233,2219,02/01/2024,False
30,Tacara at Stone Oak,1003,2x2,1233,2219,02/02/2024,False
31,Tacara at Stone Oak,1003,2x2,1233,2219,02/03/2024,False
32,Tacara at Stone Oak,1003,2x2,1233,2219,02/04/2024,False
33,Tacara at Stone Oak,1003,2x2,1233,2219,02/05/2024,False
34,Tacara at Stone Oak,1003,2x2,1233,2219,02/06/2024,False
