building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1932,07/02/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1932,07/03/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/04/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/05/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/06/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/07/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/08/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/09/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/10/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/11/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/12/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/13/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/14/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/15/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1102,2x2,1022,1930,07/16/2024,True
The BLVD,"Dallas-Fort Worth-Arlington, TX",1103,1x1,770,1324,04/05/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1103,1x1,770,1324,04/06/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1103,1x1,770,1324,04/07/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1103,1x1,770,1324,04/08/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1103,1x1,770,1324,04/09/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1103,1x1,770,1324,04/10/2024,True
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,01/21/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,01/22/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,01/23/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,01/24/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,01/25/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,01/26/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,01/27/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,01/28/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,01/29/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,01/30/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,01/31/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/01/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/02/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/03/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/04/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/05/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/06/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/07/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/08/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/09/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/10/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/11/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/12/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/13/2024,False
The BLVD,"Dallas-Fort Worth-Arlington, TX",1104,1x1,709,1389,02/14/2024,False
