building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1659,10/26/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1609,10/27/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1659,10/28/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1703,10/29/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1703,10/30/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1689,10/31/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1689,11/01/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1638,11/02/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1645,11/03/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1711,11/04/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1659,11/05/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1616,11/06/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1659,11/07/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1609,11/08/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1616,11/09/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1630,11/10/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1681,11/11/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1630,11/12/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1581,11/13/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1627,11/14/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1627,11/15/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1709,11/16/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1761,11/17/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1761,11/18/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1761,11/19/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1761,11/20/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1761,11/21/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1761,11/22/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1761,11/23/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1761,11/24/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1761,11/25/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1761,11/26/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1761,11/27/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1741,11/28/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1741,11/29/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1741,11/30/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1741,12/01/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1667,12/02/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1667,12/03/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1667,12/04/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1667,12/05/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1667,12/06/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1654,12/07/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1654,12/08/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1654,12/09/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1654,12/10/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1654,12/11/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1654,12/12/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1654,12/13/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1633,12/14/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1633,12/15/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1633,12/16/2023,False
The Bishop,"Atlanta-Sandy Springs-Roswell, GA",100-102,1x1,851,1633,12/17/2023,False
