,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,The Canyons Apartments,0111,2x2,1290,1885,09/07/2024,False
1,The Canyons Apartments,0111,2x2,1290,1881,09/08/2024,False
2,The Canyons Apartments,0111,2x2,1290,1877,09/09/2024,False
3,The Canyons Apartments,0111,2x2,1290,1877,09/10/2024,False
4,The Canyons Apartments,0111,2x2,1290,1874,09/11/2024,False
5,The Canyons Apartments,0111,2x2,1290,1874,09/12/2024,False
6,The Canyons Apartments,0111,2x2,1290,1874,09/13/2024,False
7,The Canyons Apartments,0111,2x2,1290,1874,09/14/2024,False
8,The Canyons Apartments,0111,2x2,1290,1876,09/15/2024,False
9,The Canyons Apartments,0111,2x2,1290,1879,09/16/2024,False
10,The Canyons Apartments,0111,2x2,1290,2023,09/17/2024,False
11,The Canyons Apartments,0111,2x2,1290,2026,09/18/2024,False
12,The Canyons Apartments,0111,2x2,1290,2026,09/19/2024,False
13,The Canyons Apartments,0111,2x2,1290,2026,09/20/2024,False
14,The Canyons Apartments,0111,2x2,1290,2026,09/21/2024,False
15,The Canyons Apartments,0111,2x2,1290,2026,09/22/2024,False
16,The Canyons Apartments,0111,2x2,1290,2026,09/23/2024,False
17,The Canyons Apartments,0111,2x2,1290,2026,09/24/2024,False
18,The Canyons Apartments,0111,2x2,1290,2026,09/25/2024,False
19,The Canyons Apartments,0111,2x2,1290,2026,09/26/2024,False
20,The Canyons Apartments,0111,2x2,1290,2026,09/27/2024,False
21,The Canyons Apartments,0111,2x2,1290,2026,09/28/2024,False
22,The Canyons Apartments,0111,2x2,1290,2026,09/29/2024,False
23,The Canyons Apartments,0111,2x2,1290,2026,09/30/2024,False
24,The Canyons Apartments,0111,2x2,1290,2026,10/01/2024,False
25,The Canyons Apartments,0111,2x2,1290,2022,10/02/2024,False
26,The Canyons Apartments,0111,2x2,1290,2017,10/03/2024,False
27,The Canyons Apartments,0111,2x2,1290,2017,10/04/2024,False
28,The Canyons Apartments,0111,2x2,1290,2017,10/05/2024,False
29,The Canyons Apartments,0111,2x2,1290,2017,10/06/2024,False
30,The Canyons Apartments,0111,2x2,1290,1862,10/07/2024,False
31,The Canyons Apartments,0111,2x2,1290,1862,10/08/2024,False
32,The Canyons Apartments,0111,2x2,1290,1862,10/09/2024,False
33,The Canyons Apartments,0111,2x2,1290,1862,10/10/2024,False
34,The Canyons Apartments,0111,2x2,1290,1865,10/11/2024,False
35,The Canyons Apartments,0111,2x2,1290,2020,10/12/2024,False
36,The Canyons Apartments,0111,2x2,1290,1865,10/13/2024,False
37,The Canyons Apartments,0111,2x2,1290,1865,10/14/2024,False
38,The Canyons Apartments,0111,2x2,1290,1865,10/15/2024,False
39,The Canyons Apartments,0111,2x2,1290,1865,10/16/2024,False
