building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1718,12/03/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1718,12/04/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1718,12/05/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1718,12/06/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1718,12/07/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1718,12/08/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/09/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/10/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/11/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/12/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/13/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/14/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/15/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/16/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/17/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/18/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/19/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/20/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/21/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/22/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/23/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/24/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/25/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/26/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/27/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/28/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/29/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/30/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,12/31/2023,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/01/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/02/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/03/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/04/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/05/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/06/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/07/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/08/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/09/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/10/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/11/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1659,01/12/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1677,01/13/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1677,01/14/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1677,01/15/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1693,01/16/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1693,01/17/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1710,01/18/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1710,01/19/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1727,01/20/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1710,01/21/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1710,01/22/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1727,01/23/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1739,01/24/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1746,01/25/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1723,01/26/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1715,01/27/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1709,01/28/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1709,01/29/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1697,01/30/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1707,01/31/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1701,02/01/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1709,02/02/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1695,02/03/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1686,02/04/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1688,02/05/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1682,02/06/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1664,02/07/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1650,02/08/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1643,02/09/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1637,02/10/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1631,02/11/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1625,02/12/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1605,02/13/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1611,02/14/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1605,02/15/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1605,02/16/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1542,02/17/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1522,02/18/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1522,02/19/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1522,02/20/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1522,02/21/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1487,02/22/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1487,02/23/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1487,02/24/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1487,02/25/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1487,02/26/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1487,02/27/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1487,02/28/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1487,02/29/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1487,03/01/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/02/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/03/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/04/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/05/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/06/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/07/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/08/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/09/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/10/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/11/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/12/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/13/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/14/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/15/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/16/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/17/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/18/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/19/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1532,03/20/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,03/21/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,03/22/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,03/23/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,03/24/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,03/25/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,03/26/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,03/27/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,03/28/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,03/29/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,03/30/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,03/31/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,04/01/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,04/02/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,04/03/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,04/04/2024,False
The District at Windy Hill,"Atlanta-Sandy Springs-Roswell, GA",108,1x1,755,1463,04/05/2024,False
