,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,The Edge,111,1x1,735,2130,02/12/2024,False
1,The Edge,111,1x1,735,2130,02/13/2024,False
2,The Edge,111,1x1,735,2130,02/14/2024,False
3,The Edge,111,1x1,735,2130,02/15/2024,False
4,The Edge,111,1x1,735,2130,02/16/2024,False
5,The Edge,111,1x1,735,2130,02/17/2024,False
6,The Edge,111,1x1,735,2130,02/18/2024,False
7,The Edge,111,1x1,735,2130,02/19/2024,False
8,The Edge,111,1x1,735,2130,02/20/2024,False
9,The Edge,111,1x1,735,2130,02/21/2024,False
10,The Edge,111,1x1,735,2130,02/22/2024,False
11,The Edge,111,1x1,735,2130,02/23/2024,False
12,The Edge,111,1x1,735,2130,02/24/2024,False
13,The Edge,111,1x1,735,2130,02/25/2024,False
14,The Edge,111,1x1,735,2130,02/26/2024,False
15,The Edge,111,1x1,735,2130,02/27/2024,False
16,The Edge,111,1x1,735,1867,02/28/2024,False
17,The Edge,111,1x1,735,1867,02/29/2024,False
18,The Edge,111,1x1,735,1867,03/01/2024,False
19,The Edge,111,1x1,735,1867,03/02/2024,False
20,The Edge,111,1x1,735,1867,03/03/2024,False
21,The Edge,111,1x1,735,1867,03/04/2024,False
22,The Edge,111,1x1,735,1867,03/05/2024,False
23,The Edge,111,1x1,735,1867,03/06/2024,False
24,The Edge,111,1x1,735,1848,03/07/2024,False
25,The Edge,111,1x1,735,1809,03/08/2024,False
26,The Edge,111,1x1,735,1809,03/09/2024,False
27,The Edge,111,1x1,735,1848,03/10/2024,False
28,The Edge,111,1x1,735,1848,03/11/2024,False
29,The Edge,111,1x1,735,1861,03/12/2024,False
30,The Edge,111,1x1,735,1861,03/13/2024,False
31,The Edge,111,1x1,735,1861,03/14/2024,False
32,The Edge,111,1x1,735,1861,03/15/2024,False
33,The Edge,111,1x1,735,1861,03/16/2024,False
34,The Edge,111,1x1,735,1767,03/17/2024,False
35,The Edge,111,1x1,735,1767,03/18/2024,False
36,The Edge,111,1x1,735,1768,03/19/2024,False
37,The Edge,111,1x1,735,1768,03/20/2024,False
38,The Edge,111,1x1,735,1769,03/21/2024,False
39,The Edge,111,1x1,735,1769,03/22/2024,False
40,The Edge,111,1x1,735,1796,03/23/2024,False
41,The Edge,111,1x1,735,1796,03/24/2024,False
42,The Edge,111,1x1,735,1802,03/25/2024,False
43,The Edge,111,1x1,735,1802,03/26/2024,False
44,The Edge,111,1x1,735,1808,03/27/2024,False
45,The Edge,111,1x1,735,1814,03/28/2024,False
46,The Edge,111,1x1,735,1808,03/29/2024,False
47,The Edge,111,1x1,735,1808,03/30/2024,False
48,The Edge,111,1x1,735,1808,03/31/2024,False
49,The Edge,111,1x1,735,1828,04/01/2024,False
50,The Edge,111,1x1,735,1822,04/02/2024,False
51,The Edge,111,1x1,735,1822,04/03/2024,False
52,The Edge,111,1x1,735,1822,04/04/2024,False
53,The Edge,111,1x1,735,1822,04/05/2024,False
54,The Edge,111,1x1,735,1822,04/06/2024,False
55,The Edge,111,1x1,735,1784,04/07/2024,False
56,The Edge,111,1x1,735,1790,04/08/2024,False
57,The Edge,111,1x1,735,1802,04/09/2024,False
58,The Edge,111,1x1,735,1782,04/10/2024,False
59,The Edge,111,1x1,735,1797,04/11/2024,False
60,The Edge,111,1x1,735,1797,04/12/2024,False
61,The Edge,111,1x1,735,1817,04/13/2024,False
62,The Edge,111,1x1,735,1817,04/14/2024,False
63,The Edge,111,1x1,735,1817,04/15/2024,False
