building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2909,02/14/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2909,02/15/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2863,02/16/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2863,02/17/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2863,02/18/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2863,02/19/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2865,02/20/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2872,02/21/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2872,02/22/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2876,02/23/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2831,02/24/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2831,02/25/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2831,02/26/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2831,02/27/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2752,02/28/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2612,02/29/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2612,03/01/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2479,03/02/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2479,03/03/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2479,03/04/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2428,03/05/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2428,03/06/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2365,03/07/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2343,03/08/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2479,03/09/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2479,03/10/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2479,03/11/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2400,03/12/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2324,03/13/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2324,03/14/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2324,03/15/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2324,03/16/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2324,03/17/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2324,03/18/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2206,03/19/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2206,03/20/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2324,03/21/2024,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",101,2x2,1131,2324,03/22/2024,True
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,1937,11/11/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2017,11/12/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2044,11/13/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2044,11/14/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2044,11/15/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2044,11/16/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2044,11/17/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2044,11/18/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2044,11/19/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2044,11/20/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2044,11/21/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2044,11/22/2023,False
The Gallery at Mills Park,"Orlando-Kissimmee-Sanford, FL",102,1x1,754,2044,11/23/2023,False
