,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1915,06/17/2023,False
1,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1915,06/18/2023,False
2,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1890,06/19/2023,False
3,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1890,06/20/2023,False
4,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1915,06/21/2023,False
5,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1915,06/22/2023,False
6,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1915,06/23/2023,False
7,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1910,06/24/2023,False
8,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1910,06/25/2023,False
9,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1900,06/26/2023,False
10,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1895,06/27/2023,False
11,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,2000,06/28/2023,False
12,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1990,06/29/2023,False
13,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1985,06/30/2023,False
14,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1985,07/01/2023,False
15,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1985,07/02/2023,False
16,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,2015,07/03/2023,False
17,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,2010,07/04/2023,False
18,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,2005,07/05/2023,False
19,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,2000,07/06/2023,False
20,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1995,07/07/2023,False
21,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,1995,07/08/2023,False
22,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,2000,07/09/2023,False
23,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,2015,07/10/2023,False
24,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,2005,07/11/2023,False
25,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,2010,07/12/2023,False
26,The GoodWynn At Town Brookhaven By ARIUM,148,1x1,892,2010,07/13/2023,False
