,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,The Grand on Memorial,2102,1x1,1008,1448,02/29/2024,False
1,The Grand on Memorial,2102,1x1,1008,1448,03/01/2024,False
2,The Grand on Memorial,2102,1x1,1008,1448,03/02/2024,False
3,The Grand on Memorial,2102,1x1,1008,1448,03/03/2024,False
4,The Grand on Memorial,2102,1x1,1008,1448,03/04/2024,False
5,The Grand on Memorial,2102,1x1,1008,1448,03/05/2024,False
6,The Grand on Memorial,2102,1x1,1008,1448,03/06/2024,False
7,The Grand on Memorial,2102,1x1,1008,1448,03/07/2024,False
8,The Grand on Memorial,2102,1x1,1008,1448,03/08/2024,False
9,The Grand on Memorial,2102,1x1,1008,1448,03/09/2024,False
10,The Grand on Memorial,2102,1x1,1008,1448,03/10/2024,False
11,The Grand on Memorial,2102,1x1,1008,1448,03/11/2024,False
12,The Grand on Memorial,2102,1x1,1008,1448,03/12/2024,False
13,The Grand on Memorial,2102,1x1,1008,1448,03/13/2024,False
14,The Grand on Memorial,2102,1x1,1008,1448,03/14/2024,False
15,The Grand on Memorial,2102,1x1,1008,1448,03/15/2024,False
16,The Grand on Memorial,2102,1x1,1008,1448,03/16/2024,False
17,The Grand on Memorial,2102,1x1,1008,1448,03/17/2024,False
18,The Grand on Memorial,2102,1x1,1008,1448,03/18/2024,False
19,The Grand on Memorial,2102,1x1,1008,1448,03/19/2024,False
20,The Grand on Memorial,2102,1x1,1008,1448,03/20/2024,False
21,The Grand on Memorial,2102,1x1,1008,1448,03/21/2024,False
22,The Grand on Memorial,2102,1x1,1008,1448,03/22/2024,False
23,The Grand on Memorial,2102,1x1,1008,1448,03/23/2024,False
24,The Grand on Memorial,2102,1x1,1008,1448,03/24/2024,False
25,The Grand on Memorial,2102,1x1,1008,1448,03/25/2024,False
26,The Grand on Memorial,2102,1x1,1008,1448,03/26/2024,False
27,The Grand on Memorial,2102,1x1,1008,1448,03/27/2024,False
28,The Grand on Memorial,2102,1x1,1008,1448,03/28/2024,False
29,The Grand on Memorial,2102,1x1,1008,1448,03/29/2024,False
30,The Grand on Memorial,2102,1x1,1008,1448,03/30/2024,False
31,The Grand on Memorial,2102,1x1,1008,1448,03/31/2024,False
32,The Grand on Memorial,2102,1x1,1008,1448,04/01/2024,False
33,The Grand on Memorial,2102,1x1,1008,1448,04/02/2024,False
34,The Grand on Memorial,2102,1x1,1008,1448,04/03/2024,False
35,The Grand on Memorial,2102,1x1,1008,1448,04/04/2024,False
36,The Grand on Memorial,2102,1x1,1008,1448,04/05/2024,False
37,The Grand on Memorial,2102,1x1,1008,1448,04/06/2024,False
38,The Grand on Memorial,2102,1x1,1008,1448,04/07/2024,False
39,The Grand on Memorial,2102,1x1,1008,1448,04/08/2024,False
40,The Grand on Memorial,2102,1x1,1008,1448,04/09/2024,False
41,The Grand on Memorial,2102,1x1,1008,1448,04/10/2024,False
42,The Grand on Memorial,2102,1x1,1008,1448,04/11/2024,False
43,The Grand on Memorial,2102,1x1,1008,1448,04/12/2024,False
44,The Grand on Memorial,2102,1x1,1008,1448,04/13/2024,False
45,The Grand on Memorial,2102,1x1,1008,1448,04/14/2024,False
46,The Grand on Memorial,2102,1x1,1008,1448,04/15/2024,False
47,The Grand on Memorial,2102,1x1,1008,1448,04/16/2024,False
48,The Grand on Memorial,2102,1x1,1008,1448,04/17/2024,False
49,The Grand on Memorial,2102,1x1,1008,1448,04/18/2024,False
50,The Grand on Memorial,2102,1x1,1008,1448,04/19/2024,False
51,The Grand on Memorial,2102,1x1,1008,1448,04/20/2024,False
52,The Grand on Memorial,2102,1x1,1008,1448,04/21/2024,False
53,The Grand on Memorial,2102,1x1,1008,1448,04/22/2024,False
54,The Grand on Memorial,2102,1x1,1008,1448,04/23/2024,False
55,The Grand on Memorial,2102,1x1,1008,1448,04/24/2024,False
56,The Grand on Memorial,2102,1x1,1008,1448,04/25/2024,False
57,The Grand on Memorial,2102,1x1,1008,1448,04/26/2024,False
58,The Grand on Memorial,2102,1x1,1008,1448,04/27/2024,False
59,The Grand on Memorial,2102,1x1,1008,1448,04/28/2024,False
60,The Grand on Memorial,2102,1x1,1008,1448,04/29/2024,False
61,The Grand on Memorial,2102,1x1,1008,1448,04/30/2024,False
62,The Grand on Memorial,2102,1x1,1008,1448,05/01/2024,False
63,The Grand on Memorial,2102,1x1,1008,1448,05/02/2024,False
64,The Grand on Memorial,2102,1x1,1008,1448,05/03/2024,False
65,The Grand on Memorial,2102,1x1,1008,1448,05/04/2024,False
66,The Grand on Memorial,2102,1x1,1008,1448,05/05/2024,False
67,The Grand on Memorial,2102,1x1,1008,1448,05/06/2024,False
68,The Grand on Memorial,2102,1x1,1008,1448,05/07/2024,False
69,The Grand on Memorial,2102,1x1,1008,1448,05/08/2024,False
70,The Grand on Memorial,2102,1x1,1008,1448,05/09/2024,False
71,The Grand on Memorial,2102,1x1,1008,1448,05/10/2024,False
72,The Grand on Memorial,2102,1x1,1008,1448,05/11/2024,False
73,The Grand on Memorial,2102,1x1,1008,1448,05/12/2024,False
74,The Grand on Memorial,2102,1x1,1008,1448,05/13/2024,False
75,The Grand on Memorial,2102,1x1,1008,1448,05/14/2024,False
76,The Grand on Memorial,2102,1x1,1008,1448,05/15/2024,False
77,The Grand on Memorial,2102,1x1,1008,1448,05/16/2024,False
78,The Grand on Memorial,2102,1x1,1008,1448,05/17/2024,False
79,The Grand on Memorial,2102,1x1,1008,1448,05/18/2024,False
80,The Grand on Memorial,2102,1x1,1008,1448,05/19/2024,False
81,The Grand on Memorial,2102,1x1,1008,1448,05/20/2024,False
82,The Grand on Memorial,2102,1x1,1008,1448,05/21/2024,False
83,The Grand on Memorial,2102,1x1,1008,1448,05/22/2024,False
84,The Grand on Memorial,2102,1x1,1008,1448,05/23/2024,False
85,The Grand on Memorial,2102,1x1,1008,1448,05/24/2024,False
86,The Grand on Memorial,2102,1x1,1008,1448,05/25/2024,False
87,The Grand on Memorial,2102,1x1,1008,1448,05/26/2024,False
88,The Grand on Memorial,2102,1x1,1008,1448,05/27/2024,False
89,The Grand on Memorial,2102,1x1,1008,1448,05/28/2024,False
90,The Grand on Memorial,2102,1x1,1008,1448,05/29/2024,True
91,The Grand on Memorial,2102,1x1,1008,1705,04/01/2025,True
92,The Grand on Memorial,2103,1x1,800,1435,06/25/2023,False
93,The Grand on Memorial,2103,1x1,800,1435,06/26/2023,False
94,The Grand on Memorial,2103,1x1,800,1435,06/27/2023,False
95,The Grand on Memorial,2103,1x1,800,1435,06/28/2023,False
96,The Grand on Memorial,2103,1x1,800,1435,06/29/2023,False
97,The Grand on Memorial,2103,1x1,800,1435,06/30/2023,False
98,The Grand on Memorial,2103,1x1,800,1435,07/01/2023,False
99,The Grand on Memorial,2103,1x1,800,1435,07/02/2023,False
100,The Grand on Memorial,2103,1x1,800,1435,07/03/2023,False
101,The Grand on Memorial,2103,1x1,800,1435,07/04/2023,False
102,The Grand on Memorial,2103,1x1,800,1435,07/05/2023,False
103,The Grand on Memorial,2103,1x1,800,1435,07/06/2023,False
104,The Grand on Memorial,2103,1x1,800,1435,07/07/2023,False
105,The Grand on Memorial,2103,1x1,800,1435,07/08/2023,False
106,The Grand on Memorial,2103,1x1,800,1435,07/09/2023,False
107,The Grand on Memorial,2103,1x1,800,1435,07/10/2023,False
108,The Grand on Memorial,2103,1x1,800,1435,07/11/2023,False
109,The Grand on Memorial,2103,1x1,800,1435,07/12/2023,False
110,The Grand on Memorial,2103,1x1,800,1435,07/13/2023,False
111,The Grand on Memorial,2103,1x1,800,1435,07/14/2023,False
112,The Grand on Memorial,2103,1x1,800,1435,07/15/2023,False
113,The Grand on Memorial,2103,1x1,800,1435,07/16/2023,False
114,The Grand on Memorial,2103,1x1,800,1435,07/17/2023,False
115,The Grand on Memorial,2103,1x1,800,1435,07/18/2023,False
116,The Grand on Memorial,2103,1x1,800,1435,07/19/2023,False
117,The Grand on Memorial,2103,1x1,800,1435,07/20/2023,False
118,The Grand on Memorial,2103,1x1,800,1435,07/21/2023,False
119,The Grand on Memorial,2103,1x1,800,1435,07/22/2023,False
120,The Grand on Memorial,2103,1x1,800,1435,07/23/2023,False
121,The Grand on Memorial,2103,1x1,800,1435,07/24/2023,False
122,The Grand on Memorial,2103,1x1,800,1435,07/25/2023,False
123,The Grand on Memorial,2103,1x1,800,1435,07/26/2023,False
124,The Grand on Memorial,2103,1x1,800,1435,07/27/2023,False
125,The Grand on Memorial,2103,1x1,800,1435,07/28/2023,False
126,The Grand on Memorial,2103,1x1,800,1435,07/29/2023,False
127,The Grand on Memorial,2103,1x1,800,1435,07/30/2023,False
128,The Grand on Memorial,2103,1x1,800,1435,07/31/2023,False
129,The Grand on Memorial,2103,1x1,800,1435,08/01/2023,False
130,The Grand on Memorial,2103,1x1,800,1435,08/02/2023,False
131,The Grand on Memorial,2103,1x1,800,1435,08/03/2023,False
132,The Grand on Memorial,2103,1x1,800,1435,08/04/2023,False
133,The Grand on Memorial,2103,1x1,800,1435,08/05/2023,False
134,The Grand on Memorial,2103,1x1,800,1435,08/06/2023,False
135,The Grand on Memorial,2103,1x1,800,1435,08/07/2023,False
136,The Grand on Memorial,2103,1x1,800,1435,08/08/2023,False
137,The Grand on Memorial,2103,1x1,800,1435,08/09/2023,False
138,The Grand on Memorial,2103,1x1,800,1435,08/10/2023,False
139,The Grand on Memorial,2103,1x1,800,1435,08/11/2023,False
140,The Grand on Memorial,2103,1x1,800,1435,08/12/2023,False
141,The Grand on Memorial,2103,1x1,800,1435,08/13/2023,False
142,The Grand on Memorial,2103,1x1,800,1435,08/14/2023,False
143,The Grand on Memorial,2103,1x1,800,1435,08/15/2023,False
144,The Grand on Memorial,2103,1x1,800,1435,08/16/2023,False
145,The Grand on Memorial,2103,1x1,800,1435,08/17/2023,False
146,The Grand on Memorial,2103,1x1,800,1435,08/18/2023,False
147,The Grand on Memorial,2103,1x1,800,1435,08/19/2023,False
148,The Grand on Memorial,2103,1x1,800,1435,08/20/2023,False
149,The Grand on Memorial,2103,1x1,800,1435,08/21/2023,False
150,The Grand on Memorial,2103,1x1,800,1435,08/22/2023,False
151,The Grand on Memorial,2103,1x1,800,1435,08/23/2023,False
152,The Grand on Memorial,2103,1x1,800,1435,08/24/2023,False
153,The Grand on Memorial,2103,1x1,800,1435,08/25/2023,False
154,The Grand on Memorial,2103,1x1,800,1435,08/26/2023,False
155,The Grand on Memorial,2103,1x1,800,1435,08/27/2023,False
156,The Grand on Memorial,2103,1x1,800,1435,08/28/2023,False
157,The Grand on Memorial,2103,1x1,800,1352,08/29/2023,False
158,The Grand on Memorial,2103,1x1,800,1352,08/30/2023,False
159,The Grand on Memorial,2103,1x1,800,1352,08/31/2023,False
160,The Grand on Memorial,2103,1x1,800,1352,09/01/2023,False
161,The Grand on Memorial,2103,1x1,800,1352,09/02/2023,False
162,The Grand on Memorial,2103,1x1,800,1352,09/03/2023,False
163,The Grand on Memorial,2103,1x1,800,1352,09/04/2023,False
164,The Grand on Memorial,2103,1x1,800,1352,09/05/2023,False
165,The Grand on Memorial,2103,1x1,800,1352,09/06/2023,False
166,The Grand on Memorial,2103,1x1,800,1352,09/07/2023,False
167,The Grand on Memorial,2103,1x1,800,1352,09/08/2023,False
168,The Grand on Memorial,2103,1x1,800,1352,09/09/2023,False
169,The Grand on Memorial,2103,1x1,800,1352,09/10/2023,False
170,The Grand on Memorial,2103,1x1,800,1352,09/11/2023,False
171,The Grand on Memorial,2103,1x1,800,1352,09/12/2023,False
172,The Grand on Memorial,2103,1x1,800,1352,09/13/2023,False
173,The Grand on Memorial,2103,1x1,800,1352,09/14/2023,False
174,The Grand on Memorial,2103,1x1,800,1352,09/15/2023,False
175,The Grand on Memorial,2103,1x1,800,1352,09/16/2023,False
176,The Grand on Memorial,2103,1x1,800,1352,09/17/2023,False
177,The Grand on Memorial,2103,1x1,800,1352,09/18/2023,False
178,The Grand on Memorial,2103,1x1,800,1352,09/19/2023,False
179,The Grand on Memorial,2103,1x1,800,1352,09/20/2023,False
180,The Grand on Memorial,2103,1x1,800,1352,09/21/2023,False
181,The Grand on Memorial,2103,1x1,800,1352,09/22/2023,False
182,The Grand on Memorial,2103,1x1,800,1352,09/23/2023,False
183,The Grand on Memorial,2103,1x1,800,1352,09/24/2023,False
184,The Grand on Memorial,2103,1x1,800,1352,09/25/2023,False
185,The Grand on Memorial,2103,1x1,800,1352,09/26/2023,False
186,The Grand on Memorial,2103,1x1,800,1352,09/27/2023,False
187,The Grand on Memorial,2103,1x1,800,1352,09/28/2023,False
188,The Grand on Memorial,2103,1x1,800,1352,09/29/2023,False
189,The Grand on Memorial,2103,1x1,800,1352,09/30/2023,False
190,The Grand on Memorial,2103,1x1,800,1352,10/01/2023,False
191,The Grand on Memorial,2103,1x1,800,1352,10/02/2023,False
192,The Grand on Memorial,2103,1x1,800,1352,10/03/2023,False
193,The Grand on Memorial,2103,1x1,800,1352,10/04/2023,False
194,The Grand on Memorial,2103,1x1,800,1352,10/05/2023,False
195,The Grand on Memorial,2103,1x1,800,1352,10/06/2023,False
196,The Grand on Memorial,2103,1x1,800,1352,10/07/2023,False
197,The Grand on Memorial,2103,1x1,800,1352,10/08/2023,False
198,The Grand on Memorial,2103,1x1,800,1352,10/09/2023,False
199,The Grand on Memorial,2103,1x1,800,1352,10/10/2023,False
200,The Grand on Memorial,2103,1x1,800,1352,10/11/2023,False
201,The Grand on Memorial,2103,1x1,800,1352,10/12/2023,False
202,The Grand on Memorial,2103,1x1,800,1352,10/13/2023,False
203,The Grand on Memorial,2103,1x1,800,1352,10/14/2023,False
204,The Grand on Memorial,2103,1x1,800,1352,10/15/2023,False
205,The Grand on Memorial,2103,1x1,800,1352,10/16/2023,False
206,The Grand on Memorial,2103,1x1,800,1352,10/17/2023,False
207,The Grand on Memorial,2103,1x1,800,1315,10/18/2023,False
208,The Grand on Memorial,2103,1x1,800,1315,10/19/2023,False
209,The Grand on Memorial,2103,1x1,800,1315,10/20/2023,False
210,The Grand on Memorial,2103,1x1,800,1315,10/21/2023,False
211,The Grand on Memorial,2103,1x1,800,1315,10/22/2023,False
