,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/16/2024,False
1,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/17/2024,False
2,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/18/2024,False
3,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/19/2024,False
4,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/20/2024,False
5,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/21/2024,False
6,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/22/2024,False
7,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/23/2024,False
8,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/24/2024,False
9,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/25/2024,False
10,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/26/2024,False
11,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/27/2024,False
12,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/28/2024,False
13,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,02/29/2024,False
14,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/01/2024,False
15,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/02/2024,False
16,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/03/2024,False
17,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/04/2024,False
18,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/05/2024,False
19,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/06/2024,False
20,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/07/2024,False
21,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/08/2024,False
22,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/09/2024,False
23,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/10/2024,False
24,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/11/2024,False
25,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/12/2024,False
26,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/13/2024,False
27,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/14/2024,False
28,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/15/2024,False
29,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/16/2024,False
30,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/17/2024,False
31,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/18/2024,False
32,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/19/2024,False
33,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/20/2024,False
34,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/21/2024,False
35,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/22/2024,False
36,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/23/2024,False
37,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/24/2024,False
38,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/25/2024,False
39,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/26/2024,False
40,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/27/2024,False
41,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/28/2024,False
42,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/29/2024,False
43,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/30/2024,False
44,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,03/31/2024,False
45,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/01/2024,False
46,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/02/2024,False
47,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/03/2024,False
48,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/04/2024,False
49,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/05/2024,False
50,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/06/2024,False
51,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/07/2024,False
52,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/08/2024,False
53,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/09/2024,False
54,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/10/2024,False
55,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/11/2024,False
56,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/12/2024,False
57,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/13/2024,False
58,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/14/2024,False
59,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/15/2024,False
60,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/16/2024,False
61,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/17/2024,False
62,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/18/2024,False
63,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/19/2024,False
64,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/20/2024,False
65,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/21/2024,False
66,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/22/2024,False
67,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/23/2024,False
68,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/24/2024,False
69,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/25/2024,False
70,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/26/2024,False
71,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/27/2024,False
72,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/28/2024,False
73,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/29/2024,False
74,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,04/30/2024,False
75,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/01/2024,False
76,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/02/2024,False
77,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/03/2024,False
78,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/04/2024,False
79,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/05/2024,False
80,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/06/2024,False
81,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/07/2024,False
82,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/08/2024,False
83,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/09/2024,False
84,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/10/2024,False
85,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/11/2024,False
86,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/12/2024,False
87,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/13/2024,False
88,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/14/2024,False
89,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/15/2024,False
90,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/16/2024,False
91,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/17/2024,False
92,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/18/2024,False
93,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/19/2024,False
94,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/20/2024,False
95,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/21/2024,False
96,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/22/2024,False
97,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/23/2024,False
98,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/24/2024,False
99,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/25/2024,False
100,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/26/2024,False
101,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/27/2024,False
102,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/28/2024,False
103,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/29/2024,False
104,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/30/2024,False
105,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,05/31/2024,False
106,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/01/2024,False
107,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/02/2024,False
108,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/03/2024,False
109,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/04/2024,False
110,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/05/2024,False
111,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/06/2024,False
112,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/07/2024,False
113,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/08/2024,False
114,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/09/2024,False
115,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/10/2024,False
116,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/11/2024,False
117,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/12/2024,False
118,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/13/2024,False
119,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/14/2024,False
120,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/15/2024,False
121,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/16/2024,False
122,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/17/2024,False
123,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/18/2024,False
124,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/19/2024,False
125,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/20/2024,False
126,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/21/2024,False
127,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/22/2024,False
128,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/23/2024,False
129,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/24/2024,False
130,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/25/2024,False
131,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/26/2024,False
132,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/27/2024,False
133,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/28/2024,False
134,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/29/2024,False
135,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,06/30/2024,False
136,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/01/2024,False
137,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/02/2024,False
138,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/03/2024,False
139,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/04/2024,False
140,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/05/2024,False
141,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/06/2024,False
142,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/07/2024,False
143,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/08/2024,False
144,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/09/2024,False
145,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/10/2024,False
146,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/11/2024,False
147,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/12/2024,False
148,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/13/2024,False
149,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/14/2024,False
150,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/15/2024,False
151,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/16/2024,False
152,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/17/2024,False
153,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/18/2024,False
154,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/19/2024,False
155,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/20/2024,False
156,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/21/2024,False
157,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/22/2024,False
158,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/23/2024,False
159,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/24/2024,False
160,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/25/2024,False
161,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/26/2024,False
162,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/27/2024,False
163,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/28/2024,False
164,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/29/2024,False
165,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/30/2024,False
166,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,07/31/2024,False
167,The Greens at Ventana Canyon Apartments,10152,2x2,967,1800,08/01/2024,False
