building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3160,01/28/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3160,01/29/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3160,01/30/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3180,01/31/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3175,02/01/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3180,02/02/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3150,02/03/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3145,02/04/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3145,02/05/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3140,02/06/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3130,02/07/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3120,02/08/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3110,02/09/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3110,02/10/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3090,02/11/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3085,02/12/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3080,02/13/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3105,02/14/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3095,02/15/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3090,02/16/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3065,02/17/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3060,02/18/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3055,02/19/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3050,02/20/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3045,02/21/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3045,02/22/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3010,02/23/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3040,02/24/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3040,02/25/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3040,02/26/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3040,02/27/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3040,02/28/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3100,02/29/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3090,03/01/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3070,03/02/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3050,03/03/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3045,03/04/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3040,03/05/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3040,03/06/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3020,03/07/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,3000,03/08/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,2980,03/09/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,2980,03/10/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,2975,03/11/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,2975,03/12/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,2975,03/13/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,2975,03/14/2024,False
The Jordan by Windsor,"Dallas-Fort Worth-Arlington, TX",0701,2x2,1334,2975,03/15/2024,False
