,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,The Landings at Pembroke Lakes,01-103,1x1,486,1956,04/29/2024,False
1,The Landings at Pembroke Lakes,01-103,1x1,486,1956,04/30/2024,False
2,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/01/2024,False
3,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/02/2024,False
4,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/03/2024,False
5,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/04/2024,False
6,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/05/2024,False
7,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/06/2024,False
8,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/07/2024,False
9,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/08/2024,False
10,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/09/2024,False
11,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/10/2024,False
12,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/11/2024,False
13,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/12/2024,False
14,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/13/2024,False
15,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/14/2024,False
16,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/15/2024,False
17,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/16/2024,False
18,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/17/2024,False
19,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/18/2024,False
20,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/19/2024,False
21,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/20/2024,False
22,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/21/2024,False
23,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/22/2024,False
24,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/23/2024,False
25,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/24/2024,False
26,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/25/2024,False
27,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/26/2024,False
28,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/27/2024,False
29,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/28/2024,False
30,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/29/2024,False
31,The Landings at Pembroke Lakes,01-103,1x1,486,1956,05/30/2024,False
32,The Landings at Pembroke Lakes,01-103,1x1,486,1876,05/31/2024,False
33,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/01/2024,False
34,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/02/2024,False
35,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/03/2024,False
36,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/04/2024,False
37,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/05/2024,False
38,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/06/2024,False
39,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/07/2024,False
40,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/08/2024,False
41,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/09/2024,False
42,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/10/2024,False
43,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/11/2024,False
44,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/12/2024,False
45,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/13/2024,False
46,The Landings at Pembroke Lakes,01-103,1x1,486,1876,06/14/2024,True
47,The Landings at Pembroke Lakes,01-104,1x1,680,2060,07/27/2023,False
48,The Landings at Pembroke Lakes,01-104,1x1,680,2060,07/28/2023,False
49,The Landings at Pembroke Lakes,01-104,1x1,680,2060,07/29/2023,False
50,The Landings at Pembroke Lakes,01-104,1x1,680,2060,07/30/2023,False
51,The Landings at Pembroke Lakes,01-104,1x1,680,2060,07/31/2023,False
52,The Landings at Pembroke Lakes,01-104,1x1,680,2060,08/01/2023,False
53,The Landings at Pembroke Lakes,01-104,1x1,680,2060,08/02/2023,False
