,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,The Langford,0107,1x1,886,1590,06/19/2023,False
1,The Langford,0107,1x1,886,1590,06/20/2023,False
2,The Langford,0107,1x1,886,1590,06/21/2023,False
3,The Langford,0107,1x1,886,1586,06/22/2023,False
4,The Langford,0107,1x1,886,1586,06/23/2023,False
5,The Langford,0107,1x1,886,1590,06/24/2023,False
6,The Langford,0107,1x1,886,1590,06/25/2023,False
7,The Langford,0107,1x1,886,1590,06/26/2023,False
8,The Langford,0107,1x1,886,1590,06/27/2023,False
9,The Langford,0107,1x1,886,1590,06/28/2023,False
10,The Langford,0107,1x1,886,1590,06/29/2023,False
11,The Langford,0107,1x1,886,1613,06/30/2023,False
12,The Langford,0107,1x1,886,1586,07/01/2023,False
13,The Langford,0107,1x1,886,1586,07/02/2023,False
14,The Langford,0107,1x1,886,1586,07/03/2023,False
15,The Langford,0107,1x1,886,1586,07/04/2023,False
16,The Langford,0107,1x1,886,1590,07/05/2023,False
17,The Langford,0107,1x1,886,1590,07/06/2023,False
18,The Langford,0107,1x1,886,1590,07/07/2023,False
19,The Langford,0107,1x1,886,1590,07/08/2023,False
20,The Langford,0107,1x1,886,1590,07/09/2023,False
21,The Langford,0107,1x1,886,1590,07/10/2023,False
22,The Langford,0107,1x1,886,1590,07/11/2023,False
23,The Langford,0107,1x1,886,1590,07/12/2023,False
24,The Langford,0107,1x1,886,1590,07/13/2023,False
25,The Langford,0107,1x1,886,1735,07/14/2023,False
26,The Langford,0107,1x1,886,1735,07/15/2023,False
27,The Langford,0107,1x1,886,1735,07/16/2023,False
28,The Langford,0107,1x1,886,1735,07/17/2023,False
29,The Langford,0107,1x1,886,1735,07/18/2023,False
30,The Langford,0107,1x1,886,1735,07/19/2023,False
31,The Langford,0107,1x1,886,1735,07/20/2023,False
32,The Langford,0107,1x1,886,1735,07/21/2023,False
33,The Langford,0107,1x1,886,1735,07/22/2023,False
34,The Langford,0107,1x1,886,1735,07/23/2023,False
35,The Langford,0107,1x1,886,1735,07/24/2023,False
36,The Langford,0107,1x1,886,1735,07/25/2023,False
37,The Langford,0107,1x1,886,1735,07/26/2023,False
38,The Langford,0107,1x1,886,1735,07/27/2023,False
39,The Langford,0107,1x1,886,1735,07/28/2023,False
40,The Langford,0107,1x1,886,1735,07/29/2023,False
41,The Langford,0107,1x1,886,1735,07/30/2023,False
42,The Langford,0107,1x1,886,1735,07/31/2023,False
43,The Langford,0107,1x1,886,1735,08/01/2023,False
44,The Langford,0107,1x1,886,1735,08/02/2023,False
45,The Langford,0107,1x1,886,1735,08/03/2023,False
46,The Langford,0107,1x1,886,1735,08/04/2023,False
47,The Langford,0107,1x1,886,1735,08/05/2023,False
48,The Langford,0107,1x1,886,1735,08/06/2023,False
49,The Langford,0107,1x1,886,1735,08/07/2023,False
50,The Langford,0107,1x1,886,1735,08/08/2023,False
51,The Langford,0107,1x1,886,1735,08/09/2023,False
52,The Langford,0107,1x1,886,1735,08/10/2023,False
53,The Langford,0107,1x1,886,1735,08/11/2023,False
54,The Langford,0107,1x1,886,1735,08/12/2023,False
55,The Langford,0107,1x1,886,1735,08/13/2023,False
56,The Langford,0107,1x1,886,1735,08/14/2023,False
57,The Langford,0107,1x1,886,1735,08/15/2023,False
58,The Langford,0107,1x1,886,1735,08/16/2023,False
59,The Langford,0107,1x1,886,1735,08/17/2023,False
60,The Langford,0107,1x1,886,1735,08/18/2023,False
61,The Langford,0107,1x1,886,1735,08/19/2023,False
62,The Langford,0107,1x1,886,1735,08/20/2023,False
63,The Langford,0107,1x1,886,1735,08/21/2023,False
64,The Langford,0107,1x1,886,1735,08/22/2023,False
65,The Langford,0107,1x1,886,1735,08/23/2023,False
66,The Langford,0107,1x1,886,1735,08/24/2023,False
67,The Langford,0107,1x1,886,1690,08/25/2023,False
68,The Langford,0107,1x1,886,1690,08/26/2023,False
69,The Langford,0107,1x1,886,1690,08/27/2023,False
70,The Langford,0107,1x1,886,1690,08/28/2023,False
71,The Langford,0107,1x1,886,1690,08/29/2023,False
72,The Langford,0107,1x1,886,1651,08/30/2023,False
73,The Langford,0107,1x1,886,1651,08/31/2023,False
74,The Langford,0107,1x1,886,1651,09/01/2023,False
75,The Langford,0107,1x1,886,1651,09/02/2023,False
76,The Langford,0107,1x1,886,1651,09/03/2023,False
77,The Langford,0107,1x1,886,1651,09/04/2023,False
78,The Langford,0107,1x1,886,1651,09/05/2023,False
79,The Langford,0107,1x1,886,1651,09/06/2023,False
80,The Langford,0107,1x1,886,1651,09/07/2023,False
81,The Langford,0107,1x1,886,1651,09/08/2023,False
82,The Langford,0107,1x1,886,1651,09/09/2023,False
83,The Langford,0107,1x1,886,1651,09/10/2023,False
84,The Langford,0107,1x1,886,1651,09/11/2023,False
85,The Langford,0107,1x1,886,1651,09/12/2023,False
86,The Langford,0107,1x1,886,1606,09/13/2023,False
87,The Langford,0107,1x1,886,1606,09/14/2023,False
88,The Langford,0107,1x1,886,1606,09/15/2023,False
89,The Langford,0107,1x1,886,1606,09/16/2023,False
90,The Langford,0107,1x1,886,1606,09/17/2023,False
91,The Langford,0107,1x1,886,1606,09/18/2023,False
92,The Langford,0107,1x1,886,1606,09/19/2023,False
93,The Langford,0107,1x1,886,1606,09/20/2023,False
94,The Langford,0107,1x1,886,1606,09/21/2023,False
95,The Langford,0107,1x1,886,1561,09/22/2023,False
96,The Langford,0107,1x1,886,1561,09/23/2023,False
97,The Langford,0107,1x1,886,1561,09/24/2023,False
98,The Langford,0107,1x1,886,1561,09/25/2023,False
99,The Langford,0107,1x1,886,1561,09/26/2023,False
100,The Langford,0107,1x1,886,1561,09/27/2023,False
101,The Langford,0107,1x1,886,1561,09/28/2023,False
102,The Langford,0107,1x1,886,1561,09/29/2023,False
103,The Langford,0107,1x1,886,1561,09/30/2023,False
104,The Langford,0107,1x1,886,1561,10/01/2023,False
105,The Langford,0107,1x1,886,1561,10/02/2023,False
106,The Langford,0107,1x1,886,1561,10/03/2023,False
107,The Langford,0107,1x1,886,1561,10/04/2023,False
108,The Langford,0107,1x1,886,1561,10/05/2023,False
109,The Langford,0107,1x1,886,1561,10/06/2023,False
110,The Langford,0107,1x1,886,1561,10/07/2023,False
111,The Langford,0107,1x1,886,1561,10/08/2023,False
112,The Langford,0107,1x1,886,1561,10/09/2023,False
113,The Langford,0107,1x1,886,1568,10/10/2023,False
114,The Langford,0107,1x1,886,1568,10/11/2023,False
115,The Langford,0107,1x1,886,1568,10/12/2023,False
116,The Langford,0107,1x1,886,1561,10/13/2023,False
117,The Langford,0107,1x1,886,1561,10/14/2023,False
118,The Langford,0107,1x1,886,1568,10/15/2023,False
119,The Langford,0107,1x1,886,1568,10/16/2023,False
120,The Langford,0107,1x1,886,1561,10/17/2023,False
121,The Langford,0107,1x1,886,1568,10/18/2023,False
122,The Langford,0107,1x1,886,1568,10/19/2023,False
123,The Langford,0107,1x1,886,1568,10/20/2023,False
124,The Langford,0107,1x1,886,1568,10/21/2023,False
125,The Langford,0107,1x1,886,1568,10/22/2023,False
126,The Langford,0107,1x1,886,1568,10/23/2023,False
127,The Langford,0107,1x1,886,1568,10/24/2023,False
128,The Langford,0107,1x1,886,1568,10/25/2023,False
129,The Langford,0107,1x1,886,1568,10/26/2023,False
130,The Langford,0107,1x1,886,1568,10/27/2023,False
131,The Langford,0107,1x1,886,1568,10/28/2023,True
132,The Langford,0110,1x1,706,1507,09/02/2023,False
133,The Langford,0110,1x1,706,1507,09/03/2023,False
134,The Langford,0110,1x1,706,1507,09/04/2023,False
135,The Langford,0110,1x1,706,1507,09/05/2023,False
136,The Langford,0110,1x1,706,1507,09/06/2023,False
137,The Langford,0110,1x1,706,1507,09/07/2023,False
138,The Langford,0110,1x1,706,1507,09/08/2023,False
139,The Langford,0110,1x1,706,1507,09/09/2023,False
140,The Langford,0110,1x1,706,1507,09/10/2023,False
141,The Langford,0110,1x1,706,1507,09/11/2023,False
142,The Langford,0110,1x1,706,1507,09/12/2023,True
143,The Langford,0115,0x1,451,1260,10/21/2023,False
144,The Langford,0115,0x1,451,1260,10/22/2023,False
145,The Langford,0115,0x1,451,1194,10/23/2023,False
146,The Langford,0115,0x1,451,1129,10/24/2023,False
147,The Langford,0115,0x1,451,1104,10/25/2023,False
148,The Langford,0115,0x1,451,1097,10/26/2023,False
149,The Langford,0115,0x1,451,1097,10/27/2023,False
150,The Langford,0115,0x1,451,1097,10/28/2023,False
151,The Langford,0115,0x1,451,1097,10/29/2023,False
152,The Langford,0115,0x1,451,1097,10/30/2023,False
153,The Langford,0115,0x1,451,1067,10/31/2023,False
154,The Langford,0115,0x1,451,1067,11/01/2023,False
155,The Langford,0115,0x1,451,1027,11/02/2023,False
156,The Langford,0115,0x1,451,1027,11/03/2023,False
157,The Langford,0115,0x1,451,1027,11/04/2023,False
158,The Langford,0115,0x1,451,1027,11/05/2023,False
159,The Langford,0115,0x1,451,1027,11/06/2023,False
160,The Langford,0115,0x1,451,1027,11/07/2023,False
161,The Langford,0115,0x1,451,1027,11/08/2023,False
162,The Langford,0115,0x1,451,1027,11/09/2023,True
163,The Langford,0141,1x1,640,1535,10/03/2023,False
164,The Langford,0141,1x1,640,1535,10/04/2023,False
165,The Langford,0141,1x1,640,1535,10/05/2023,False
166,The Langford,0141,1x1,640,1535,10/06/2023,False
167,The Langford,0141,1x1,640,1535,10/07/2023,False
