building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2608,02/23/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2608,02/24/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2608,02/25/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2608,02/26/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2608,02/27/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2608,02/28/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,02/29/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/01/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/02/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/03/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/04/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/05/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/06/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/07/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/08/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/09/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/10/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/11/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/12/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/13/2024,False
The Mill at Loggers Creek,"Mountain Home, ID",101,2x2,1205,2845,03/14/2024,False
