building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2570,10/05/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2570,10/06/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2570,10/07/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2501,10/08/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2501,10/09/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/10/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/11/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/12/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/13/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/14/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/15/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/16/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/17/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/18/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/19/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/20/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/21/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/22/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/23/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/24/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/25/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2549,10/26/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2574,10/27/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2574,10/28/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2574,10/29/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2574,10/30/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2574,10/31/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/01/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/02/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/03/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/04/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/05/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/06/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/07/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/08/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/09/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/10/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/11/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/12/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/13/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/14/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/15/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/16/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/17/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/18/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/19/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/20/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/21/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/22/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2598,11/23/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2578,11/24/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2578,11/25/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2578,11/26/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2578,11/27/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2578,11/28/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2578,11/29/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2578,11/30/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2578,12/01/2023,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2578,12/02/2023,True
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,04/21/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,04/22/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,04/23/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,04/24/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,04/25/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,04/26/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,04/27/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,04/28/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,04/29/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,04/30/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/01/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/02/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/03/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/04/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/05/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/06/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/07/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/08/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/09/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/10/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/11/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/12/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/13/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/14/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/15/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/16/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2662,05/17/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,05/18/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,05/19/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2682,05/20/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2661,05/21/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2661,05/22/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2661,05/23/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2661,05/24/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2561,05/25/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2582,05/26/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2582,05/27/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2582,05/28/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2582,05/29/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2582,05/30/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2582,05/31/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2582,06/01/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2582,06/02/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2582,06/03/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2582,06/04/2024,False
The Reserve and The Park at Riverbridge,"Miami-Fort Lauderdale-West Palm Beach, FL",1-1011,3x2,1484,2547,06/05/2024,False
