building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1195,01/31/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1175,02/01/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1157,02/02/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1136,02/03/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1136,02/04/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1136,02/05/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1123,02/06/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1111,02/07/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1100,02/08/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1071,02/09/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1071,02/10/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1071,02/11/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1071,02/12/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1036,02/13/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1024,02/14/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1014,02/15/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1017,02/16/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1017,02/17/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1017,02/18/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,1017,02/19/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,947,02/20/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,915,02/21/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",102,1x1,650,850,02/22/2024,True
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1342,09/19/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1353,09/20/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1370,09/21/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1370,09/22/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1370,09/23/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1370,09/24/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1370,09/25/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1370,09/26/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1413,09/27/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1423,09/28/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1429,09/29/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1434,09/30/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1434,10/01/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1434,10/02/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1425,10/03/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1425,10/04/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1425,10/05/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1425,10/06/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1425,10/07/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1425,10/08/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1425,10/09/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1425,10/10/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1425,10/11/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1354,10/12/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1354,10/13/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1354,10/14/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1354,10/15/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1350,10/16/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1350,10/17/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1341,10/18/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1341,10/19/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1346,10/20/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1346,10/21/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1346,10/22/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1346,10/23/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1339,10/24/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1369,10/25/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1369,10/26/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1369,10/27/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1369,10/28/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1369,10/29/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1369,10/30/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1369,10/31/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1369,11/01/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1334,11/02/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1381,11/03/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1381,11/04/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1381,11/05/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1381,11/06/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1239,11/07/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1239,11/08/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1173,11/09/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1236,11/10/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1170,11/11/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1170,11/12/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1170,11/13/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1128,11/14/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1128,11/15/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1020,11/16/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1020,11/17/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1077,11/18/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1077,11/19/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1077,11/20/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1137,11/21/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1162,11/22/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1118,11/23/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1243,11/24/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1243,11/25/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1243,11/26/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1243,11/27/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1118,11/28/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1118,11/29/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1118,11/30/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1118,12/01/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1118,12/02/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1194,12/03/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1188,12/04/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1188,12/05/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1188,12/06/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1313,12/07/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1273,12/08/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1273,12/09/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1273,12/10/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1273,12/11/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1273,12/12/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1273,12/13/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1290,12/14/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1275,12/15/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1317,12/16/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1317,12/17/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1317,12/18/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1324,12/19/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1324,12/20/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1323,12/21/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1323,12/22/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1323,12/23/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1323,12/24/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1323,12/25/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1323,12/26/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1323,12/27/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1323,12/28/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1343,12/29/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1362,12/30/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1362,12/31/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1362,01/01/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1362,01/02/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1377,01/03/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1393,01/04/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1409,01/05/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1420,01/06/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1420,01/07/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1420,01/08/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1425,01/09/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1426,01/10/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1426,01/11/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1437,01/12/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1437,01/13/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1437,01/14/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1437,01/15/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1437,01/16/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1437,01/17/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1437,01/18/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1447,01/19/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1456,01/20/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1456,01/21/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1456,01/22/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1465,01/23/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1465,01/24/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1590,01/25/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1590,01/26/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1590,01/27/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1590,01/28/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1590,01/29/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1590,01/30/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1590,01/31/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1570,02/01/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1560,02/02/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1489,02/03/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1489,02/04/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1489,02/05/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1476,02/06/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1464,02/07/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1453,02/08/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1424,02/09/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1424,02/10/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1424,02/11/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1428,02/12/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1393,02/13/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1381,02/14/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1381,02/15/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1381,02/16/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1381,02/17/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1381,02/18/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1381,02/19/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1381,02/20/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1273,02/21/2024,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1102,1x1,854,1198,02/22/2024,True
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1110,1x1,854,1441,07/29/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1110,1x1,854,1441,07/30/2023,False
The Reserve at Ridgewood,"Atlanta-Sandy Springs-Roswell, GA",1110,1x1,854,1441,07/31/2023,False
