building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2041,05/01/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2041,05/02/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2041,05/03/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2041,05/04/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2041,05/05/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/06/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/07/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/08/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/09/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/10/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/11/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/12/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/13/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/14/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/15/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/16/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/17/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/18/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/19/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/20/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/21/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/22/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/23/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/24/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/25/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/26/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/27/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2016,05/28/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2036,05/29/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2036,05/30/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2036,05/31/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2036,06/01/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2036,06/02/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2036,06/03/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2036,06/04/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2044,06/05/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2044,06/06/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2044,06/07/2024,False
The Reserve on Cave Creek,"Phoenix-Mesa-Scottsdale, AZ",101,3x2,1333,2044,06/08/2024,False
