building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1596,06/07/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1596,06/08/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1596,06/09/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/10/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/11/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/12/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/13/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/14/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/15/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/16/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/17/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/18/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/19/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/20/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/21/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/22/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/23/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/24/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/25/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/26/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/27/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/28/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/29/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,06/30/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/01/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/02/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/03/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/04/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/05/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/06/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/07/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/08/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/09/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/10/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/11/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/12/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/13/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/14/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/15/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/16/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/17/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/18/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/19/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/20/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/21/2024,False
The Residence at Christopher Wren Apartments,"Columbus, OH",01-B055,2x2.5,1275,1616,07/22/2024,False
