,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,The Residences at La Colombe dOr,1001,1x1,1135,3416,06/17/2023,False
1,The Residences at La Colombe dOr,1001,1x1,1135,3416,06/18/2023,False
2,The Residences at La Colombe dOr,1001,1x1,1135,3416,06/19/2023,False
3,The Residences at La Colombe dOr,1001,1x1,1135,3316,06/20/2023,False
4,The Residences at La Colombe dOr,1001,1x1,1135,3316,06/21/2023,False
5,The Residences at La Colombe dOr,1001,1x1,1135,3316,06/22/2023,False
6,The Residences at La Colombe dOr,1001,1x1,1135,3315,06/23/2023,False
7,The Residences at La Colombe dOr,1001,1x1,1135,3142,06/24/2023,False
8,The Residences at La Colombe dOr,1001,1x1,1135,3142,06/25/2023,False
9,The Residences at La Colombe dOr,1001,1x1,1135,3142,06/26/2023,False
10,The Residences at La Colombe dOr,1001,1x1,1135,3195,06/27/2023,False
11,The Residences at La Colombe dOr,1001,1x1,1135,3160,06/28/2023,False
12,The Residences at La Colombe dOr,1001,1x1,1135,3127,06/29/2023,False
13,The Residences at La Colombe dOr,1001,1x1,1135,3095,06/30/2023,False
14,The Residences at La Colombe dOr,1001,1x1,1135,3065,07/01/2023,False
15,The Residences at La Colombe dOr,1001,1x1,1135,3065,07/02/2023,False
16,The Residences at La Colombe dOr,1001,1x1,1135,3065,07/03/2023,False
17,The Residences at La Colombe dOr,1001,1x1,1135,3037,07/04/2023,False
18,The Residences at La Colombe dOr,1001,1x1,1135,3037,07/05/2023,False
19,The Residences at La Colombe dOr,1001,1x1,1135,3037,07/06/2023,True
20,The Residences at La Colombe dOr,1003,1x1,933,3141,06/17/2023,False
21,The Residences at La Colombe dOr,1003,1x1,933,3141,06/18/2023,False
22,The Residences at La Colombe dOr,1003,1x1,933,3141,06/19/2023,False
23,The Residences at La Colombe dOr,1003,1x1,933,3041,06/20/2023,False
24,The Residences at La Colombe dOr,1003,1x1,933,3041,06/21/2023,False
25,The Residences at La Colombe dOr,1003,1x1,933,3041,06/22/2023,False
26,The Residences at La Colombe dOr,1003,1x1,933,3040,06/23/2023,False
27,The Residences at La Colombe dOr,1003,1x1,933,2867,06/24/2023,False
28,The Residences at La Colombe dOr,1003,1x1,933,2867,06/25/2023,False
29,The Residences at La Colombe dOr,1003,1x1,933,2867,06/26/2023,False
30,The Residences at La Colombe dOr,1003,1x1,933,2920,06/27/2023,False
31,The Residences at La Colombe dOr,1003,1x1,933,2885,06/28/2023,False
32,The Residences at La Colombe dOr,1003,1x1,933,2852,06/29/2023,False
33,The Residences at La Colombe dOr,1003,1x1,933,2820,06/30/2023,False
34,The Residences at La Colombe dOr,1003,1x1,933,2790,07/01/2023,False
35,The Residences at La Colombe dOr,1003,1x1,933,2790,07/02/2023,False
