,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,The Resort at University Park,1705B,1x1,798,1713,10/23/2023,False
1,The Resort at University Park,1705B,1x1,798,1713,10/24/2023,False
2,The Resort at University Park,1705B,1x1,798,1713,10/25/2023,False
3,The Resort at University Park,1705B,1x1,798,1695,10/26/2023,False
4,The Resort at University Park,1705B,1x1,798,1695,10/27/2023,False
5,The Resort at University Park,1705B,1x1,798,1695,10/28/2023,False
6,The Resort at University Park,1705B,1x1,798,1695,10/29/2023,False
7,The Resort at University Park,1705B,1x1,798,1669,10/30/2023,False
8,The Resort at University Park,1705B,1x1,798,1628,10/31/2023,False
9,The Resort at University Park,1705B,1x1,798,1628,11/01/2023,False
10,The Resort at University Park,1705B,1x1,798,1628,11/02/2023,False
11,The Resort at University Park,1705B,1x1,798,1588,11/03/2023,False
12,The Resort at University Park,1705B,1x1,798,1588,11/04/2023,False
13,The Resort at University Park,1705B,1x1,798,1588,11/05/2023,False
14,The Resort at University Park,1705B,1x1,798,1588,11/06/2023,False
15,The Resort at University Park,1705B,1x1,798,1588,11/07/2023,False
16,The Resort at University Park,1705B,1x1,798,1588,11/08/2023,False
17,The Resort at University Park,1705B,1x1,798,1523,11/09/2023,False
18,The Resort at University Park,1705B,1x1,798,1523,11/10/2023,False
19,The Resort at University Park,1705B,1x1,798,1523,11/11/2023,False
20,The Resort at University Park,1705B,1x1,798,1523,11/12/2023,False
21,The Resort at University Park,1705B,1x1,798,1444,11/13/2023,False
22,The Resort at University Park,1705B,1x1,798,1444,11/14/2023,False
23,The Resort at University Park,1705B,1x1,798,1587,11/15/2023,False
24,The Resort at University Park,1705B,1x1,798,1587,11/16/2023,False
25,The Resort at University Park,1705B,1x1,798,1587,11/17/2023,False
26,The Resort at University Park,1705B,1x1,798,1587,11/18/2023,False
27,The Resort at University Park,1705B,1x1,798,1587,11/19/2023,False
28,The Resort at University Park,1705B,1x1,798,1587,11/20/2023,False
29,The Resort at University Park,1705B,1x1,798,1629,11/21/2023,False
30,The Resort at University Park,1705B,1x1,798,1629,11/22/2023,True
31,The Resort at University Park,1705C,1x1,798,1792,06/28/2023,False
32,The Resort at University Park,1705C,1x1,798,1785,06/29/2023,False
33,The Resort at University Park,1705C,1x1,798,1785,06/30/2023,False
34,The Resort at University Park,1705C,1x1,798,1785,07/01/2023,False
35,The Resort at University Park,1705C,1x1,798,1785,07/02/2023,False
36,The Resort at University Park,1705C,1x1,798,1774,07/03/2023,False
37,The Resort at University Park,1705C,1x1,798,1774,07/04/2023,False
38,The Resort at University Park,1705C,1x1,798,1774,07/05/2023,True
39,The Resort at University Park,1705C,1x1,798,1646,03/23/2024,False
40,The Resort at University Park,1705C,1x1,798,1646,03/24/2024,False
41,The Resort at University Park,1705C,1x1,798,1646,03/25/2024,False
42,The Resort at University Park,1705C,1x1,798,1646,03/26/2024,False
43,The Resort at University Park,1705C,1x1,798,1646,03/27/2024,False
44,The Resort at University Park,1705C,1x1,798,1646,03/28/2024,False
45,The Resort at University Park,1705C,1x1,798,1646,03/29/2024,False
46,The Resort at University Park,1705C,1x1,798,1646,03/30/2024,False
47,The Resort at University Park,1705C,1x1,798,1646,03/31/2024,False
48,The Resort at University Park,1705C,1x1,798,1646,04/01/2024,False
