building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/07/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/08/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/09/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/10/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/11/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/12/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/13/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/14/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/15/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/16/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/17/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/18/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/19/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/20/2024,False
The Square at Latham Park,"Columbus, OH",10-6270,2x2,1170,1960,12/21/2024,True
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1880,09/22/2024,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1880,09/23/2024,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1880,09/24/2024,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1880,09/25/2024,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1880,09/26/2024,True
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,01/21/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,01/22/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,01/23/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,01/24/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,01/25/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,01/26/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,01/27/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,01/28/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,01/29/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,01/30/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,01/31/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,02/01/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,02/02/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,02/03/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,02/04/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,02/05/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,02/06/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,02/07/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,02/08/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,02/09/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,02/10/2025,False
The Square at Latham Park,"Columbus, OH",12-6256,2x2,1170,1920,02/11/2025,True
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,09/22/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,09/23/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,09/24/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,09/25/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,09/26/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,09/27/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,09/28/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,09/29/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,09/30/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,10/01/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,10/02/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,10/03/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,10/04/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,10/05/2024,False
The Square at Latham Park,"Columbus, OH",12-6266,2x2,1170,1880,10/06/2024,False
