,building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2103,04/26/2024,False
1,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2304,04/27/2024,False
2,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2304,04/28/2024,False
3,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2304,04/29/2024,False
4,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2304,04/30/2024,False
5,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2277,05/01/2024,False
6,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2277,05/02/2024,False
7,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2198,05/03/2024,False
8,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2198,05/04/2024,False
9,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2198,05/05/2024,False
10,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2198,05/06/2024,False
11,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2181,05/07/2024,False
12,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2181,05/08/2024,False
13,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2181,05/09/2024,False
14,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2181,05/10/2024,False
15,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2080,05/11/2024,False
16,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2080,05/12/2024,False
17,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2080,05/13/2024,False
18,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2080,05/14/2024,False
19,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2080,05/15/2024,False
20,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2146,05/16/2024,False
21,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2213,05/17/2024,False
22,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2213,05/18/2024,False
23,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2213,05/19/2024,False
24,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2213,05/20/2024,False
25,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2071,05/21/2024,False
26,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2136,05/22/2024,False
27,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2071,05/23/2024,False
28,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-101,1x1,757,2071,05/24/2024,True
29,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2353,03/07/2024,False
30,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2287,03/08/2024,False
31,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2287,03/09/2024,False
32,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2287,03/10/2024,False
33,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2351,03/11/2024,False
34,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2361,03/12/2024,False
35,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2429,03/13/2024,False
36,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2460,03/14/2024,False
37,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2460,03/15/2024,False
38,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2460,03/16/2024,False
39,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2460,03/17/2024,False
40,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2529,03/18/2024,False
41,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2394,03/19/2024,False
42,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2326,03/20/2024,False
43,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2326,03/21/2024,False
44,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2326,03/22/2024,False
45,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2326,03/23/2024,False
46,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2326,03/24/2024,False
47,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2260,03/25/2024,False
48,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2196,03/26/2024,False
49,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2258,03/27/2024,False
50,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2276,03/28/2024,False
51,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2232,03/29/2024,False
52,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2232,03/30/2024,False
53,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2232,03/31/2024,False
54,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2296,04/01/2024,False
55,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2231,04/02/2024,False
56,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2301,04/03/2024,False
57,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2231,04/04/2024,False
58,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2231,04/05/2024,False
59,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2231,04/06/2024,False
60,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2231,04/07/2024,False
61,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2231,04/08/2024,False
62,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2231,04/09/2024,False
63,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2231,04/10/2024,False
64,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2231,04/11/2024,False
65,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2290,04/12/2024,False
66,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2231,04/13/2024,False
67,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2231,04/14/2024,False
68,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2294,04/15/2024,False
69,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2294,04/16/2024,False
70,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2294,04/17/2024,False
71,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2359,04/18/2024,False
72,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2294,04/19/2024,False
73,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2294,04/20/2024,False
74,The Stratford,"Miami-Fort Lauderdale-West Palm Beach, FL",1-102,1x1,757,2294,04/21/2024,False
