,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Tower on Tenth,0204,1x1,592,1079,05/06/2024,False
1,Tower on Tenth,0204,1x1,592,1079,05/07/2024,False
2,Tower on Tenth,0204,1x1,592,1079,05/08/2024,False
3,Tower on Tenth,0204,1x1,592,1079,05/09/2024,False
4,Tower on Tenth,0204,1x1,592,1079,05/10/2024,False
5,Tower on Tenth,0204,1x1,592,1079,05/11/2024,False
6,Tower on Tenth,0204,1x1,592,1079,05/12/2024,False
7,Tower on Tenth,0204,1x1,592,1079,05/13/2024,False
8,Tower on Tenth,0204,1x1,592,867,05/14/2024,False
9,Tower on Tenth,0204,1x1,592,867,05/15/2024,False
10,Tower on Tenth,0204,1x1,592,943,05/16/2024,False
11,Tower on Tenth,0204,1x1,592,943,05/17/2024,True
12,Tower on Tenth,0209,1x1,529,1145,03/16/2024,False
13,Tower on Tenth,0209,1x1,529,1145,03/17/2024,False
14,Tower on Tenth,0209,1x1,529,1145,03/18/2024,False
15,Tower on Tenth,0209,1x1,529,1145,03/19/2024,False
16,Tower on Tenth,0209,1x1,529,1145,03/20/2024,False
17,Tower on Tenth,0209,1x1,529,1145,03/21/2024,False
18,Tower on Tenth,0209,1x1,529,1145,03/22/2024,False
19,Tower on Tenth,0209,1x1,529,1145,03/23/2024,False
20,Tower on Tenth,0209,1x1,529,1145,03/24/2024,False
21,Tower on Tenth,0209,1x1,529,1145,03/25/2024,False
22,Tower on Tenth,0209,1x1,529,1145,03/26/2024,False
23,Tower on Tenth,0209,1x1,529,1145,03/27/2024,False
24,Tower on Tenth,0209,1x1,529,1041,03/28/2024,False
25,Tower on Tenth,0209,1x1,529,1041,03/29/2024,False
26,Tower on Tenth,0209,1x1,529,1041,03/30/2024,False
27,Tower on Tenth,0209,1x1,529,1041,03/31/2024,False
28,Tower on Tenth,0209,1x1,529,1041,04/01/2024,False
29,Tower on Tenth,0209,1x1,529,1041,04/02/2024,False
30,Tower on Tenth,0209,1x1,529,1041,04/03/2024,False
31,Tower on Tenth,0209,1x1,529,1041,04/04/2024,False
32,Tower on Tenth,0209,1x1,529,1041,04/05/2024,False
33,Tower on Tenth,0209,1x1,529,1041,04/06/2024,False
34,Tower on Tenth,0209,1x1,529,1041,04/07/2024,False
35,Tower on Tenth,0209,1x1,529,1041,04/08/2024,False
36,Tower on Tenth,0209,1x1,529,1041,04/09/2024,False
37,Tower on Tenth,0209,1x1,529,1041,04/10/2024,False
38,Tower on Tenth,0209,1x1,529,1041,04/11/2024,False
39,Tower on Tenth,0209,1x1,529,1041,04/12/2024,False
40,Tower on Tenth,0209,1x1,529,1041,04/13/2024,False
41,Tower on Tenth,0209,1x1,529,1041,04/14/2024,False
42,Tower on Tenth,0209,1x1,529,1041,04/15/2024,False
43,Tower on Tenth,0209,1x1,529,1041,04/16/2024,False
44,Tower on Tenth,0209,1x1,529,1041,04/17/2024,False
45,Tower on Tenth,0209,1x1,529,1041,04/18/2024,False
46,Tower on Tenth,0209,1x1,529,1041,04/19/2024,False
47,Tower on Tenth,0209,1x1,529,1041,04/20/2024,False
48,Tower on Tenth,0209,1x1,529,1041,04/21/2024,False
49,Tower on Tenth,0209,1x1,529,1041,04/22/2024,False
50,Tower on Tenth,0209,1x1,529,1041,04/23/2024,False
51,Tower on Tenth,0209,1x1,529,1041,04/24/2024,False
52,Tower on Tenth,0209,1x1,529,1041,04/25/2024,False
53,Tower on Tenth,0209,1x1,529,1041,04/26/2024,False
54,Tower on Tenth,0209,1x1,529,1041,04/27/2024,False
55,Tower on Tenth,0209,1x1,529,1041,04/28/2024,False
56,Tower on Tenth,0209,1x1,529,1041,04/29/2024,False
57,Tower on Tenth,0209,1x1,529,1041,04/30/2024,False
58,Tower on Tenth,0209,1x1,529,1041,05/01/2024,False
59,Tower on Tenth,0209,1x1,529,1041,05/02/2024,False
60,Tower on Tenth,0209,1x1,529,1041,05/03/2024,False
61,Tower on Tenth,0209,1x1,529,1041,05/04/2024,False
62,Tower on Tenth,0209,1x1,529,1041,05/05/2024,False
63,Tower on Tenth,0209,1x1,529,1037,05/06/2024,False
64,Tower on Tenth,0209,1x1,529,1037,05/07/2024,False
65,Tower on Tenth,0209,1x1,529,1037,05/08/2024,False
66,Tower on Tenth,0209,1x1,529,1037,05/09/2024,False
67,Tower on Tenth,0209,1x1,529,1037,05/10/2024,False
68,Tower on Tenth,0209,1x1,529,1037,05/11/2024,False
69,Tower on Tenth,0209,1x1,529,1037,05/12/2024,False
70,Tower on Tenth,0209,1x1,529,1037,05/13/2024,False
71,Tower on Tenth,0209,1x1,529,825,05/14/2024,False
72,Tower on Tenth,0209,1x1,529,825,05/15/2024,False
73,Tower on Tenth,0209,1x1,529,900,05/16/2024,True
74,Tower on Tenth,0211,1x1,529,1302,06/17/2023,False
75,Tower on Tenth,0211,1x1,529,1302,06/18/2023,False
76,Tower on Tenth,0211,1x1,529,1302,06/19/2023,False
77,Tower on Tenth,0211,1x1,529,1300,06/20/2023,False
78,Tower on Tenth,0211,1x1,529,1300,06/21/2023,False
79,Tower on Tenth,0211,1x1,529,1300,06/22/2023,False
80,Tower on Tenth,0211,1x1,529,1300,06/23/2023,False
81,Tower on Tenth,0211,1x1,529,1192,06/24/2023,False
82,Tower on Tenth,0211,1x1,529,1192,06/25/2023,False
83,Tower on Tenth,0211,1x1,529,1192,06/26/2023,False
84,Tower on Tenth,0211,1x1,529,1192,06/27/2023,False
85,Tower on Tenth,0211,1x1,529,1192,06/28/2023,False
86,Tower on Tenth,0211,1x1,529,1192,06/29/2023,False
87,Tower on Tenth,0211,1x1,529,1300,06/30/2023,False
88,Tower on Tenth,0211,1x1,529,1300,07/01/2023,False
89,Tower on Tenth,0211,1x1,529,1300,07/02/2023,False
90,Tower on Tenth,0211,1x1,529,1300,07/03/2023,False
91,Tower on Tenth,0211,1x1,529,1300,07/04/2023,False
92,Tower on Tenth,0211,1x1,529,1300,07/05/2023,False
93,Tower on Tenth,0211,1x1,529,1300,07/06/2023,False
94,Tower on Tenth,0211,1x1,529,1300,07/07/2023,False
95,Tower on Tenth,0211,1x1,529,1300,07/08/2023,False
96,Tower on Tenth,0211,1x1,529,1300,07/09/2023,False
97,Tower on Tenth,0211,1x1,529,1300,07/10/2023,False
98,Tower on Tenth,0211,1x1,529,1300,07/11/2023,False
99,Tower on Tenth,0211,1x1,529,1192,07/12/2023,False
100,Tower on Tenth,0211,1x1,529,1192,07/13/2023,False
101,Tower on Tenth,0211,1x1,529,1192,07/14/2023,False
102,Tower on Tenth,0211,1x1,529,1192,07/15/2023,False
103,Tower on Tenth,0211,1x1,529,1192,07/16/2023,False
104,Tower on Tenth,0211,1x1,529,1192,07/17/2023,False
105,Tower on Tenth,0211,1x1,529,1192,07/18/2023,False
106,Tower on Tenth,0211,1x1,529,1192,07/19/2023,False
