,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Villa Montana,103,2x1,915,1525,09/07/2024,False
1,Villa Montana,103,2x1,915,1525,09/08/2024,True
2,Villa Montana,104,2x1,915,1800,08/17/2024,False
3,Villa Montana,104,2x1,915,1800,08/18/2024,False
4,Villa Montana,104,2x1,915,1800,08/19/2024,False
5,Villa Montana,104,2x1,915,1800,08/20/2024,False
6,Villa Montana,104,2x1,915,1800,08/21/2024,False
7,Villa Montana,104,2x1,915,1525,08/22/2024,False
8,Villa Montana,104,2x1,915,1525,08/23/2024,False
9,Villa Montana,104,2x1,915,1525,08/24/2024,False
10,Villa Montana,104,2x1,915,1525,08/25/2024,False
11,Villa Montana,104,2x1,915,1525,08/26/2024,False
12,Villa Montana,104,2x1,915,1525,08/27/2024,False
13,Villa Montana,104,2x1,915,1525,08/28/2024,False
14,Villa Montana,104,2x1,915,1525,08/29/2024,False
15,Villa Montana,104,2x1,915,1525,08/30/2024,False
16,Villa Montana,104,2x1,915,1525,08/31/2024,False
17,Villa Montana,104,2x1,915,1525,09/01/2024,False
18,Villa Montana,104,2x1,915,1525,09/02/2024,False
19,Villa Montana,104,2x1,915,1525,09/03/2024,False
20,Villa Montana,104,2x1,915,1525,09/04/2024,False
21,Villa Montana,104,2x1,915,1525,09/05/2024,True
22,Villa Montana,107,2x1,915,1825,01/22/2025,False
23,Villa Montana,107,2x1,915,1825,01/23/2025,False
24,Villa Montana,107,2x1,915,1825,01/24/2025,False
25,Villa Montana,107,2x1,915,1825,01/25/2025,False
26,Villa Montana,107,2x1,915,1825,01/26/2025,False
27,Villa Montana,107,2x1,915,1825,01/27/2025,False
28,Villa Montana,107,2x1,915,1825,01/28/2025,False
29,Villa Montana,107,2x1,915,1825,01/29/2025,False
30,Villa Montana,107,2x1,915,1825,01/30/2025,False
31,Villa Montana,107,2x1,915,1825,01/31/2025,False
32,Villa Montana,107,2x1,915,1825,02/01/2025,False
33,Villa Montana,107,2x1,915,1825,02/02/2025,False
34,Villa Montana,107,2x1,915,1825,02/03/2025,False
35,Villa Montana,107,2x1,915,1825,02/04/2025,False
36,Villa Montana,107,2x1,915,1825,02/05/2025,False
37,Villa Montana,107,2x1,915,1825,02/06/2025,False
38,Villa Montana,107,2x1,915,1825,02/07/2025,False
39,Villa Montana,107,2x1,915,1825,02/08/2025,False
40,Villa Montana,107,2x1,915,1825,02/09/2025,False
41,Villa Montana,107,2x1,915,1825,02/10/2025,False
42,Villa Montana,107,2x1,915,1825,02/11/2025,False
43,Villa Montana,107,2x1,915,1825,02/12/2025,False
44,Villa Montana,107,2x1,915,1825,02/13/2025,False
45,Villa Montana,107,2x1,915,1825,02/14/2025,False
46,Villa Montana,107,2x1,915,1825,02/15/2025,False
47,Villa Montana,107,2x1,915,1825,02/16/2025,False
48,Villa Montana,107,2x1,915,1825,02/17/2025,False
49,Villa Montana,107,2x1,915,1825,02/18/2025,False
50,Villa Montana,107,2x1,915,1825,02/19/2025,False
51,Villa Montana,107,2x1,915,1825,02/20/2025,False
52,Villa Montana,107,2x1,915,1825,02/21/2025,False
53,Villa Montana,107,2x1,915,1825,02/22/2025,False
54,Villa Montana,107,2x1,915,1825,02/23/2025,False
55,Villa Montana,107,2x1,915,1825,02/24/2025,False
56,Villa Montana,107,2x1,915,1825,02/25/2025,True
57,Villa Montana,108,2x1,915,1800,05/10/2024,False
58,Villa Montana,108,2x1,915,1800,05/11/2024,False
59,Villa Montana,108,2x1,915,1800,05/12/2024,False
60,Villa Montana,108,2x1,915,1800,05/13/2024,False
61,Villa Montana,108,2x1,915,1800,05/14/2024,False
62,Villa Montana,108,2x1,915,1800,05/15/2024,False
63,Villa Montana,108,2x1,915,1800,05/16/2024,False
64,Villa Montana,108,2x1,915,1800,05/17/2024,False
65,Villa Montana,108,2x1,915,1620,05/18/2024,False
66,Villa Montana,108,2x1,915,1620,05/19/2024,False
67,Villa Montana,108,2x1,915,1620,05/20/2024,False
68,Villa Montana,108,2x1,915,1620,05/21/2024,False
69,Villa Montana,108,2x1,915,1620,05/22/2024,False
70,Villa Montana,108,2x1,915,1620,05/23/2024,False
71,Villa Montana,108,2x1,915,1500,05/24/2024,False
72,Villa Montana,108,2x1,915,1800,05/25/2024,False
73,Villa Montana,108,2x1,915,1800,05/26/2024,False
74,Villa Montana,108,2x1,915,1800,05/27/2024,False
75,Villa Montana,108,2x1,915,1800,05/28/2024,False
76,Villa Montana,108,2x1,915,1800,05/29/2024,False
77,Villa Montana,108,2x1,915,1800,05/30/2024,False
78,Villa Montana,108,2x1,915,1800,05/31/2024,False
79,Villa Montana,108,2x1,915,1800,06/01/2024,False
80,Villa Montana,108,2x1,915,1800,06/02/2024,False
81,Villa Montana,108,2x1,915,1800,06/03/2024,False
82,Villa Montana,108,2x1,915,1800,06/04/2024,False
