,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Villages at Domain,10-104,1x1.5,1131,1576,11/19/2024,False
1,Villages at Domain,10-104,1x1.5,1131,1525,11/20/2024,False
2,Villages at Domain,10-104,1x1.5,1131,1525,11/21/2024,False
3,Villages at Domain,10-104,1x1.5,1131,1707,11/22/2024,False
4,Villages at Domain,10-104,1x1.5,1131,1707,11/23/2024,False
5,Villages at Domain,10-104,1x1.5,1131,1707,11/24/2024,False
6,Villages at Domain,10-104,1x1.5,1131,1707,11/25/2024,False
7,Villages at Domain,10-104,1x1.5,1131,1647,11/26/2024,False
8,Villages at Domain,10-104,1x1.5,1131,1647,11/27/2024,False
9,Villages at Domain,10-104,1x1.5,1131,1637,11/28/2024,False
10,Villages at Domain,10-104,1x1.5,1131,1642,11/29/2024,False
11,Villages at Domain,10-104,1x1.5,1131,1642,11/30/2024,False
12,Villages at Domain,10-104,1x1.5,1131,1642,12/01/2024,False
13,Villages at Domain,10-104,1x1.5,1131,1642,12/02/2024,False
14,Villages at Domain,10-104,1x1.5,1131,1649,12/03/2024,False
15,Villages at Domain,10-104,1x1.5,1131,1659,12/04/2024,False
16,Villages at Domain,10-104,1x1.5,1131,1659,12/05/2024,False
17,Villages at Domain,10-104,1x1.5,1131,1659,12/06/2024,False
18,Villages at Domain,10-104,1x1.5,1131,1659,12/07/2024,False
19,Villages at Domain,10-104,1x1.5,1131,1659,12/08/2024,False
20,Villages at Domain,10-104,1x1.5,1131,1659,12/09/2024,False
21,Villages at Domain,10-104,1x1.5,1131,1659,12/10/2024,False
22,Villages at Domain,10-104,1x1.5,1131,1659,12/11/2024,False
23,Villages at Domain,10-104,1x1.5,1131,1659,12/12/2024,False
24,Villages at Domain,10-104,1x1.5,1131,1659,12/13/2024,False
25,Villages at Domain,10-104,1x1.5,1131,1659,12/14/2024,False
26,Villages at Domain,10-104,1x1.5,1131,1659,12/15/2024,False
27,Villages at Domain,10-104,1x1.5,1131,1659,12/16/2024,False
28,Villages at Domain,10-104,1x1.5,1131,1663,12/17/2024,False
29,Villages at Domain,10-104,1x1.5,1131,1663,12/18/2024,False
30,Villages at Domain,10-104,1x1.5,1131,1655,12/19/2024,False
31,Villages at Domain,10-104,1x1.5,1131,1655,12/20/2024,False
32,Villages at Domain,10-104,1x1.5,1131,1670,12/21/2024,False
33,Villages at Domain,10-104,1x1.5,1131,1670,12/22/2024,False
34,Villages at Domain,10-104,1x1.5,1131,1670,12/23/2024,False
35,Villages at Domain,10-104,1x1.5,1131,1670,12/24/2024,False
36,Villages at Domain,10-104,1x1.5,1131,1670,12/25/2024,False
37,Villages at Domain,10-104,1x1.5,1131,1670,12/26/2024,False
38,Villages at Domain,10-104,1x1.5,1131,1670,12/27/2024,False
39,Villages at Domain,10-104,1x1.5,1131,1670,12/28/2024,False
40,Villages at Domain,10-104,1x1.5,1131,1670,12/29/2024,False
41,Villages at Domain,10-104,1x1.5,1131,1670,12/30/2024,False
42,Villages at Domain,10-104,1x1.5,1131,1670,12/31/2024,False
43,Villages at Domain,10-104,1x1.5,1131,1670,01/01/2025,False
44,Villages at Domain,10-104,1x1.5,1131,1506,01/02/2025,False
45,Villages at Domain,10-104,1x1.5,1131,1506,01/03/2025,False
46,Villages at Domain,10-104,1x1.5,1131,1506,01/04/2025,False
47,Villages at Domain,10-104,1x1.5,1131,1506,01/05/2025,False
48,Villages at Domain,10-104,1x1.5,1131,1464,01/06/2025,False
