,building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1541,01/25/2024,False
1,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1526,01/26/2024,False
2,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1526,01/27/2024,False
3,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1526,01/28/2024,False
4,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1526,01/29/2024,False
5,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1526,01/30/2024,False
6,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1601,01/31/2024,False
7,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1601,02/01/2024,False
8,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1601,02/02/2024,False
9,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1636,02/03/2024,False
10,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1636,02/04/2024,False
11,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1636,02/05/2024,False
12,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1636,02/06/2024,False
13,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1636,02/07/2024,False
14,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1636,02/08/2024,False
15,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1636,02/09/2024,False
16,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1596,02/10/2024,False
17,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1596,02/11/2024,False
18,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1596,02/12/2024,False
19,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1596,02/13/2024,False
20,Villages of Briar Forest,"Houston-The Woodlands-Sugar Land, TX",0211,2x2,1138,1616,02/14/2024,False
