building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/17/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/18/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/19/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/20/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/21/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/22/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/23/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/24/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/25/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/26/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/27/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/28/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/29/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,06/30/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/01/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/02/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/03/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/04/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/05/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/06/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/07/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/08/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/09/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/10/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/11/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/12/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/13/2023,False
Villas at Gateway,"Tampa-St. Petersburg-Clearwater, FL",2805-107,2x2,1112,2432,07/14/2023,False
