,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/16/2024,False
1,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/17/2024,False
2,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/18/2024,False
3,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/19/2024,False
4,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/20/2024,False
5,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/21/2024,False
6,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/22/2024,False
7,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/23/2024,False
8,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/24/2024,False
9,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/25/2024,False
10,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/26/2024,False
11,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/27/2024,False
12,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/28/2024,False
13,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/29/2024,False
14,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,04/30/2024,False
15,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,05/01/2024,False
16,Vintage Lake Mary Apartments,1-103,2x2,1390,2416,05/02/2024,False
17,Vintage Lake Mary Apartments,1-103,2x2,1390,2636,05/03/2024,False
18,Vintage Lake Mary Apartments,1-103,2x2,1390,2636,05/04/2024,False
19,Vintage Lake Mary Apartments,1-103,2x2,1390,2636,05/05/2024,False
20,Vintage Lake Mary Apartments,1-103,2x2,1390,2636,05/06/2024,False
21,Vintage Lake Mary Apartments,1-103,2x2,1390,2636,05/07/2024,False
22,Vintage Lake Mary Apartments,1-103,2x2,1390,2636,05/08/2024,False
23,Vintage Lake Mary Apartments,1-103,2x2,1390,2636,05/09/2024,False
24,Vintage Lake Mary Apartments,1-103,2x2,1390,2636,05/10/2024,False
25,Vintage Lake Mary Apartments,1-103,2x2,1390,2636,05/11/2024,False
26,Vintage Lake Mary Apartments,1-103,2x2,1390,2636,05/12/2024,False
27,Vintage Lake Mary Apartments,1-103,2x2,1390,2636,05/13/2024,False
28,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/14/2024,False
29,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/15/2024,False
30,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/16/2024,False
31,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/17/2024,False
32,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/18/2024,False
33,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/19/2024,False
34,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/20/2024,False
35,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/21/2024,False
36,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/22/2024,False
37,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/23/2024,False
38,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/24/2024,False
39,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/25/2024,False
40,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/26/2024,False
41,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/27/2024,False
42,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/28/2024,False
43,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/29/2024,False
44,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/30/2024,False
45,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,05/31/2024,False
46,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/01/2024,False
47,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/02/2024,False
48,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/03/2024,False
49,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/04/2024,False
50,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/05/2024,False
51,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/06/2024,False
52,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/07/2024,False
53,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/08/2024,False
54,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/09/2024,False
55,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/10/2024,False
56,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/11/2024,False
57,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/12/2024,False
58,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/13/2024,False
59,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/14/2024,False
60,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/15/2024,False
61,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/16/2024,False
62,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/17/2024,False
63,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/18/2024,False
64,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/19/2024,False
65,Vintage Lake Mary Apartments,1-103,2x2,1390,2259,06/20/2024,True
66,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/17/2023,False
67,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/18/2023,False
68,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/19/2023,False
69,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/20/2023,False
70,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/21/2023,False
71,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/22/2023,False
72,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/23/2023,False
73,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/24/2023,False
74,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/25/2023,False
75,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/26/2023,False
76,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/27/2023,False
77,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/28/2023,False
78,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/29/2023,False
79,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,06/30/2023,False
80,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,07/01/2023,False
81,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,07/02/2023,False
82,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,07/03/2023,False
83,Vintage Lake Mary Apartments,1-105,2x2,1125,2191,07/04/2023,False
