building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/06/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/07/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/08/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/09/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/10/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/11/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/12/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/13/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/14/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/15/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/16/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/17/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/18/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/19/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/20/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/21/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/22/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/23/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/24/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/25/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/26/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/27/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/28/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/29/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/30/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,03/31/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/01/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/02/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/03/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/04/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/05/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/06/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/07/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/08/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/09/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/10/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/11/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/12/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/13/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/14/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/15/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/16/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/17/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/18/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/19/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/20/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/21/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2175,04/22/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2092,04/23/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2092,04/24/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2092,04/25/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2092,04/26/2025,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1001,1x1,720,2092,04/27/2025,True
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,03/28/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,03/29/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,03/30/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,03/31/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/01/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/02/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/03/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/04/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/05/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/06/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/07/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/08/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/09/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/10/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/11/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/12/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/13/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/14/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/15/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/16/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/17/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/18/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/19/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/20/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/21/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/22/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/23/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/24/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/25/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/26/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/27/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/28/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/29/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,04/30/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/01/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/02/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/03/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/04/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/05/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/06/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/07/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/08/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/09/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/10/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/11/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/12/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/13/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/14/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/15/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/16/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/17/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/18/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/19/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/20/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/21/2024,False
Waterford Landing,"Miami-Fort Lauderdale-West Palm Beach, FL",1002,1x1,750,2155,05/22/2024,False
