,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Whitehall Parc,1101,2x2,1262,1916,08/01/2024,False
1,Whitehall Parc,1101,2x2,1262,1928,08/02/2024,False
2,Whitehall Parc,1101,2x2,1262,1928,08/03/2024,False
3,Whitehall Parc,1101,2x2,1262,1928,08/04/2024,False
4,Whitehall Parc,1101,2x2,1262,1833,08/05/2024,False
5,Whitehall Parc,1101,2x2,1262,1833,08/06/2024,False
6,Whitehall Parc,1101,2x2,1262,1833,08/07/2024,False
7,Whitehall Parc,1101,2x2,1262,1788,08/08/2024,False
8,Whitehall Parc,1101,2x2,1262,1770,08/09/2024,False
9,Whitehall Parc,1101,2x2,1262,1770,08/10/2024,False
10,Whitehall Parc,1101,2x2,1262,1770,08/11/2024,False
11,Whitehall Parc,1101,2x2,1262,1730,08/12/2024,False
12,Whitehall Parc,1101,2x2,1262,1730,08/13/2024,False
13,Whitehall Parc,1101,2x2,1262,1730,08/14/2024,False
14,Whitehall Parc,1101,2x2,1262,1730,08/15/2024,False
15,Whitehall Parc,1101,2x2,1262,1730,08/16/2024,False
16,Whitehall Parc,1101,2x2,1262,1730,08/17/2024,False
17,Whitehall Parc,1101,2x2,1262,1730,08/18/2024,False
18,Whitehall Parc,1101,2x2,1262,1730,08/19/2024,True
19,Whitehall Parc,1102,2x2,1239,1876,03/10/2024,False
20,Whitehall Parc,1102,2x2,1239,1876,03/11/2024,False
21,Whitehall Parc,1102,2x2,1239,1782,03/12/2024,False
22,Whitehall Parc,1102,2x2,1239,1782,03/13/2024,False
23,Whitehall Parc,1102,2x2,1239,1782,03/14/2024,False
24,Whitehall Parc,1102,2x2,1239,1693,03/15/2024,False
25,Whitehall Parc,1102,2x2,1239,1609,03/16/2024,False
26,Whitehall Parc,1102,2x2,1239,1609,03/17/2024,False
27,Whitehall Parc,1102,2x2,1239,1609,03/18/2024,False
28,Whitehall Parc,1102,2x2,1239,1609,03/19/2024,False
29,Whitehall Parc,1102,2x2,1239,1609,03/20/2024,False
30,Whitehall Parc,1102,2x2,1239,1609,03/21/2024,False
31,Whitehall Parc,1102,2x2,1239,1609,03/22/2024,False
32,Whitehall Parc,1102,2x2,1239,1609,03/23/2024,True
33,Whitehall Parc,1103,1x1,785,1558,08/06/2023,False
34,Whitehall Parc,1103,1x1,785,1529,08/07/2023,False
