,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Windsor Burnet,1101,1x1,785,1880,07/08/2023,False
1,Windsor Burnet,1101,1x1,785,1900,07/09/2023,False
2,Windsor Burnet,1101,1x1,785,1895,07/10/2023,False
3,Windsor Burnet,1101,1x1,785,1890,07/11/2023,False
4,Windsor Burnet,1101,1x1,785,1895,07/12/2023,False
5,Windsor Burnet,1101,1x1,785,1900,07/13/2023,False
6,Windsor Burnet,1101,1x1,785,1895,07/14/2023,False
7,Windsor Burnet,1101,1x1,785,1920,07/15/2023,False
8,Windsor Burnet,1101,1x1,785,1920,07/16/2023,False
9,Windsor Burnet,1101,1x1,785,1925,07/17/2023,False
10,Windsor Burnet,1101,1x1,785,1925,07/18/2023,False
11,Windsor Burnet,1101,1x1,785,1935,07/19/2023,False
12,Windsor Burnet,1101,1x1,785,1925,07/20/2023,False
13,Windsor Burnet,1101,1x1,785,1925,07/21/2023,False
14,Windsor Burnet,1101,1x1,785,1900,07/22/2023,False
15,Windsor Burnet,1101,1x1,785,1900,07/23/2023,False
16,Windsor Burnet,1101,1x1,785,1890,07/24/2023,False
17,Windsor Burnet,1101,1x1,785,1890,07/25/2023,False
18,Windsor Burnet,1101,1x1,785,1850,07/26/2023,False
19,Windsor Burnet,1101,1x1,785,1845,07/27/2023,False
20,Windsor Burnet,1101,1x1,785,1845,07/28/2023,False
21,Windsor Burnet,1101,1x1,785,1845,07/29/2023,False
22,Windsor Burnet,1101,1x1,785,1845,07/30/2023,False
23,Windsor Burnet,1101,1x1,785,1845,07/31/2023,False
24,Windsor Burnet,1101,1x1,785,1845,08/01/2023,False
25,Windsor Burnet,1101,1x1,785,1845,08/02/2023,False
26,Windsor Burnet,1101,1x1,785,1845,08/03/2023,False
27,Windsor Burnet,1101,1x1,785,1845,08/04/2023,False
28,Windsor Burnet,1101,1x1,785,1720,08/05/2023,False
29,Windsor Burnet,1101,1x1,785,1730,08/06/2023,False
30,Windsor Burnet,1101,1x1,785,1735,08/07/2023,False
31,Windsor Burnet,1101,1x1,785,1735,08/08/2023,False
32,Windsor Burnet,1101,1x1,785,1735,08/09/2023,False
33,Windsor Burnet,1101,1x1,785,1725,08/10/2023,False
34,Windsor Burnet,1101,1x1,785,1735,08/11/2023,False
35,Windsor Burnet,1101,1x1,785,1715,08/12/2023,False
36,Windsor Burnet,1101,1x1,785,1710,08/13/2023,False
37,Windsor Burnet,1101,1x1,785,1730,08/14/2023,False
38,Windsor Burnet,1101,1x1,785,1730,08/15/2023,False
39,Windsor Burnet,1101,1x1,785,1730,08/16/2023,False
40,Windsor Burnet,1101,1x1,785,1745,08/17/2023,False
41,Windsor Burnet,1101,1x1,785,1750,08/18/2023,False
42,Windsor Burnet,1101,1x1,785,1745,08/19/2023,False
43,Windsor Burnet,1101,1x1,785,1730,08/20/2023,False
44,Windsor Burnet,1101,1x1,785,1725,08/21/2023,False
45,Windsor Burnet,1101,1x1,785,1715,08/22/2023,False
