,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Woodbridge Apartments,001013,2x2,929,1625,08/27/2024,False
1,Woodbridge Apartments,001013,2x2,929,1625,08/28/2024,False
2,Woodbridge Apartments,001013,2x2,929,1625,08/29/2024,True
3,Woodbridge Apartments,001023,2x2,988,1745,08/27/2024,False
4,Woodbridge Apartments,001023,2x2,988,1745,08/28/2024,False
5,Woodbridge Apartments,001023,2x2,988,1745,08/29/2024,True
6,Woodbridge Apartments,001037,1x1,716,1225,08/27/2024,False
7,Woodbridge Apartments,001037,1x1,716,1225,08/28/2024,False
8,Woodbridge Apartments,001037,1x1,716,1225,08/29/2024,True
9,Woodbridge Apartments,001048,2x2,929,1525,08/27/2024,False
10,Woodbridge Apartments,001048,2x2,929,1525,08/28/2024,False
11,Woodbridge Apartments,001048,2x2,929,1525,08/29/2024,True
12,Woodbridge Apartments,001059,1x1,670,1165,08/27/2024,False
13,Woodbridge Apartments,001059,1x1,670,1165,08/28/2024,False
14,Woodbridge Apartments,001059,1x1,670,1165,08/29/2024,True
15,Woodbridge Apartments,001065,1x1,670,1215,08/27/2024,False
16,Woodbridge Apartments,001065,1x1,670,1215,08/28/2024,False
17,Woodbridge Apartments,001065,1x1,670,1215,08/29/2024,True
18,Woodbridge Apartments,001072,1x1,549,1010,08/27/2024,False
19,Woodbridge Apartments,001072,1x1,549,1010,08/28/2024,False
20,Woodbridge Apartments,001072,1x1,549,1010,08/29/2024,True
21,Woodbridge Apartments,001088,1x1,549,1140,08/27/2024,False
22,Woodbridge Apartments,001088,1x1,549,1140,08/28/2024,False
23,Woodbridge Apartments,001088,1x1,549,1140,08/29/2024,True
24,Woodbridge Apartments,001089,1x1,549,1040,08/27/2024,False
25,Woodbridge Apartments,001089,1x1,549,1040,08/28/2024,False
26,Woodbridge Apartments,001089,1x1,549,1040,08/29/2024,True
27,Woodbridge Apartments,001095,2x2,929,1525,08/27/2024,False
28,Woodbridge Apartments,001095,2x2,929,1525,08/28/2024,False
29,Woodbridge Apartments,001095,2x2,929,1525,08/29/2024,True
30,Woodbridge Apartments,001101,2x2,988,1675,08/27/2024,False
31,Woodbridge Apartments,001101,2x2,988,1675,08/28/2024,False
32,Woodbridge Apartments,001101,2x2,988,1675,08/29/2024,True
33,Woodbridge Apartments,001104,2x2,988,1725,08/28/2024,False
34,Woodbridge Apartments,001104,2x2,988,1725,08/29/2024,True
35,Woodbridge Apartments,001107,1x1,716,1275,08/27/2024,False
36,Woodbridge Apartments,001107,1x1,716,1275,08/28/2024,False
37,Woodbridge Apartments,001107,1x1,716,1275,08/29/2024,True
38,Woodbridge Apartments,001119,1x1,716,1225,08/27/2024,False
39,Woodbridge Apartments,001119,1x1,716,1225,08/28/2024,False
40,Woodbridge Apartments,001119,1x1,716,1225,08/29/2024,True
41,Woodbridge Apartments,002006,1x1,670,1175,08/28/2024,False
42,Woodbridge Apartments,002006,1x1,670,1175,08/29/2024,True
43,Woodbridge Apartments,002014,2x2,1009,1620,08/27/2024,False
44,Woodbridge Apartments,002014,2x2,1009,1620,08/28/2024,False
45,Woodbridge Apartments,002014,2x2,1009,1620,08/29/2024,True
46,Woodbridge Apartments,002024,2x2,988,1575,08/27/2024,False
