,building_name,unit_name,unit_group,sqft,effective_price,date,leased_rate
0,Woodlake Reserve,01,1x1,873,1710,06/17/2023,False
1,Woodlake Reserve,01,1x1,873,1710,06/18/2023,False
2,Woodlake Reserve,01,1x1,873,1710,06/19/2023,False
3,Woodlake Reserve,01,1x1,873,1710,06/20/2023,False
4,Woodlake Reserve,01,1x1,873,1710,06/21/2023,False
5,Woodlake Reserve,01,1x1,873,1710,06/22/2023,False
6,Woodlake Reserve,01,1x1,873,1710,06/23/2023,False
7,Woodlake Reserve,01,1x1,873,1710,06/24/2023,False
8,Woodlake Reserve,01,1x1,873,1710,06/25/2023,False
9,Woodlake Reserve,01,1x1,873,1710,06/26/2023,False
10,Woodlake Reserve,01,1x1,873,1710,06/27/2023,False
11,Woodlake Reserve,01,1x1,873,1710,06/28/2023,False
12,Woodlake Reserve,01,1x1,873,1710,06/29/2023,False
13,Woodlake Reserve,01,1x1,873,1710,06/30/2023,False
14,Woodlake Reserve,01,1x1,873,1710,07/01/2023,False
15,Woodlake Reserve,01,1x1,873,1710,07/02/2023,False
16,Woodlake Reserve,01,1x1,873,1710,07/03/2023,False
17,Woodlake Reserve,01,1x1,873,1710,07/04/2023,False
18,Woodlake Reserve,01,1x1,873,1710,07/05/2023,False
19,Woodlake Reserve,01,1x1,873,1710,07/06/2023,False
20,Woodlake Reserve,01,1x1,873,1710,07/07/2023,False
21,Woodlake Reserve,01,1x1,873,1710,07/08/2023,False
22,Woodlake Reserve,01,1x1,873,1710,07/09/2023,False
23,Woodlake Reserve,01,1x1,873,1710,07/10/2023,False
24,Woodlake Reserve,01,1x1,873,1710,07/11/2023,False
25,Woodlake Reserve,01,1x1,873,1665,07/12/2023,False
26,Woodlake Reserve,01,1x1,873,1675,07/13/2023,False
27,Woodlake Reserve,01,1x1,873,1675,07/14/2023,False
28,Woodlake Reserve,01,1x1,873,1665,07/15/2023,False
29,Woodlake Reserve,01,1x1,873,1675,07/16/2023,False
30,Woodlake Reserve,01,1x1,873,1665,07/17/2023,False
31,Woodlake Reserve,01,1x1,873,1665,07/18/2023,False
32,Woodlake Reserve,01,1x1,873,1665,07/19/2023,False
33,Woodlake Reserve,01,1x1,873,1675,07/20/2023,False
34,Woodlake Reserve,01,1x1,873,1665,07/21/2023,False
35,Woodlake Reserve,01,1x1,873,1665,07/22/2023,False
36,Woodlake Reserve,01,1x1,873,1665,07/23/2023,False
37,Woodlake Reserve,01,1x1,873,1665,07/24/2023,False
38,Woodlake Reserve,01,1x1,873,1665,07/25/2023,False
39,Woodlake Reserve,01,1x1,873,1665,07/26/2023,False
40,Woodlake Reserve,01,1x1,873,1665,07/27/2023,False
41,Woodlake Reserve,01,1x1,873,1665,07/28/2023,False
42,Woodlake Reserve,01,1x1,873,1665,07/29/2023,False
43,Woodlake Reserve,01,1x1,873,1665,07/30/2023,False
44,Woodlake Reserve,01,1x1,873,1665,07/31/2023,False
45,Woodlake Reserve,01,1x1,873,1665,08/01/2023,False
46,Woodlake Reserve,01,1x1,873,1665,08/02/2023,False
47,Woodlake Reserve,01,1x1,873,1665,08/03/2023,False
